"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"IT","Italy","Abruzzo","","IT-65",NA,"15/02/2020",2,2,36,9,0,-1
"IT","Italy","Abruzzo","","IT-65",NA,"16/02/2020",2,8,47,26,-1,-2
"IT","Italy","Abruzzo","","IT-65",NA,"17/02/2020",-1,2,11,7,1,-1
"IT","Italy","Abruzzo","","IT-65",NA,"18/02/2020",1,2,22,5,2,-1
"IT","Italy","Abruzzo","","IT-65",NA,"19/02/2020",-4,-1,-12,1,1,0
"IT","Italy","Abruzzo","","IT-65",NA,"20/02/2020",1,4,-3,5,1,0
"IT","Italy","Abruzzo","","IT-65",NA,"21/02/2020",1,3,6,7,0,-1
"IT","Italy","Abruzzo","","IT-65",NA,"22/02/2020",1,6,34,8,0,0
"IT","Italy","Abruzzo","","IT-65",NA,"23/02/2020",2,17,54,20,3,-2
"IT","Italy","Abruzzo","","IT-65",NA,"24/02/2020",5,19,25,2,-10,1
"IT","Italy","Abruzzo","","IT-65",NA,"25/02/2020",4,7,50,-3,-15,3
"IT","Italy","Abruzzo","","IT-65",NA,"26/02/2020",-5,1,-10,-11,-3,2
"IT","Italy","Abruzzo","","IT-65",NA,"27/02/2020",-3,3,-1,-8,0,2
"IT","Italy","Abruzzo","","IT-65",NA,"28/02/2020",-3,2,-3,-11,-1,2
"IT","Italy","Abruzzo","","IT-65",NA,"29/02/2020",-2,2,21,-7,0,1
"IT","Italy","Abruzzo","","IT-65",NA,"01/03/2020",-7,4,-2,-11,-2,2
"IT","Italy","Abruzzo","","IT-65",NA,"02/03/2020",-3,3,-6,-7,1,1
"IT","Italy","Abruzzo","","IT-65",NA,"03/03/2020",-2,1,-3,-10,1,1
"IT","Italy","Abruzzo","","IT-65",NA,"04/03/2020",-2,5,-4,-11,0,1
"IT","Italy","Abruzzo","","IT-65",NA,"05/03/2020",-4,7,13,-16,-15,5
"IT","Italy","Abruzzo","","IT-65",NA,"06/03/2020",-9,3,-3,-22,-16,6
"IT","Italy","Abruzzo","","IT-65",NA,"07/03/2020",-18,6,-17,-31,-17,8
"IT","Italy","Abruzzo","","IT-65",NA,"08/03/2020",-27,10,-13,-32,-9,7
"IT","Italy","Abruzzo","","IT-65",NA,"09/03/2020",-23,5,-6,-38,-22,9
"IT","Italy","Abruzzo","","IT-65",NA,"10/03/2020",-41,1,-35,-51,-31,15
"IT","Italy","Abruzzo","","IT-65",NA,"11/03/2020",-52,-18,-36,-60,-38,18
"IT","Italy","Abruzzo","","IT-65",NA,"12/03/2020",-70,-29,-61,-67,-50,24
"IT","Italy","Abruzzo","","IT-65",NA,"13/03/2020",-74,-32,-65,-72,-56,28
"IT","Italy","Abruzzo","","IT-65",NA,"14/03/2020",-82,-42,-76,-79,-61,27
"IT","Italy","Abruzzo","","IT-65",NA,"15/03/2020",-90,-60,-82,-86,-58,23
"IT","Italy","Abruzzo","","IT-65",NA,"16/03/2020",-73,-38,-67,-75,-58,26
"IT","Italy","Abruzzo","","IT-65",NA,"17/03/2020",-75,-43,-66,-76,-60,27
"IT","Italy","Abruzzo","","IT-65",NA,"18/03/2020",-77,-44,-72,-78,-61,28
"IT","Italy","Abruzzo","","IT-65",NA,"19/03/2020",-77,-46,-72,-79,-63,29
"IT","Italy","Abruzzo","","IT-65",NA,"20/03/2020",-79,-42,-77,-81,-63,32
"IT","Italy","Abruzzo","","IT-65",NA,"21/03/2020",-85,-49,-85,-85,-65,28
"IT","Italy","Abruzzo","","IT-65",NA,"22/03/2020",-94,-82,-90,-89,-64,25
"IT","Italy","Abruzzo","","IT-65",NA,"23/03/2020",-78,-44,-81,-83,-67,30
"IT","Italy","Abruzzo","","IT-65",NA,"24/03/2020",-83,-55,-83,-83,-71,33
"IT","Italy","Abruzzo","","IT-65",NA,"25/03/2020",-82,-53,-84,-83,-71,33
"IT","Italy","Abruzzo","","IT-65",NA,"26/03/2020",-84,-58,-85,-84,-72,34
"IT","Italy","Abruzzo","","IT-65",NA,"27/03/2020",-81,-46,-84,-85,-71,35
"IT","Italy","Abruzzo","","IT-65",NA,"28/03/2020",-86,-53,-88,-87,-67,30
"IT","Italy","Abruzzo","","IT-65",NA,"29/03/2020",-94,-84,-89,-90,-63,24
"IT","Italy","Abruzzo","","IT-65",NA,"30/03/2020",-79,-46,-78,-82,-68,30
"IT","Italy","Abruzzo","","IT-65",NA,"31/03/2020",-91,-43,-79,-81,-70,32
"IT","Italy","Abruzzo","","IT-65",NA,"01/04/2020",-90,-39,-79,-79,-69,31
"IT","Italy","Abruzzo","","IT-65",NA,"02/04/2020",-89,-39,-77,-79,-68,32
