"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-15",0,1,4,2,2,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-16",1,-2,1,2,-2,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-17",-1,1,2,0,3,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-18",0,2,1,0,3,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-19",-1,2,2,1,3,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-20",1,4,5,4,2,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-21",-3,0,14,-5,-20,5
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-22",-4,-2,4,-4,-1,2
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-23",-4,-4,0,0,3,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-24",-3,-2,0,-1,1,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-25",-1,-2,2,1,-1,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-26",-2,-3,1,1,0,-1
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-27",-2,-3,2,-1,0,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-28",-3,-2,2,-2,3,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-02-29",-4,0,3,-2,8,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-01",-2,-1,0,-2,2,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-02",-4,1,2,-2,5,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-03",-3,2,1,-2,4,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-04",-2,3,3,0,4,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-05",-4,1,0,-2,3,2
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-06",-3,3,0,-1,5,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-07",-2,4,3,3,8,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-08",-4,3,-3,-1,12,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-09",0,7,9,-3,-11,3
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-10",-11,-31,16,-17,-70,14
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-11",-3,1,2,3,-5,0
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-12",-4,-1,1,-3,-2,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-13",-6,0,0,-4,2,1
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-14",-7,1,0,-7,0,3
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-15",-9,-3,-5,-7,2,3
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-16",-7,3,0,-5,-1,3
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-17",-9,0,-2,-7,-3,2
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-18",-9,-1,-1,-8,-4,2
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-19",-11,3,-3,-11,-5,3
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-20",-18,9,-13,-15,-5,4
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-21",-32,-3,-24,-22,-10,8
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-22",-79,-78,-64,-67,-57,25
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-23",-62,-41,-44,-53,-52,24
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-24",-74,-58,-54,-65,-71,31
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-25",-78,-64,-58,-69,-76,33
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-26",-78,-64,-58,-69,-75,34
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-27",-78,-66,-57,-70,-74,34
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-28",-81,-70,-61,-72,-74,35
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-29",-82,-72,-66,-72,-59,28
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-30",-79,-68,-59,-72,-74,35
"IN","India","Gujarat","","IN-GJ",NA,"2020-03-31",-79,-67,-59,-71,-73,33
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-01",-79,-67,-58,-70,-73,33
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-02",-79,-69,-59,-71,-75,35
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-03",-78,-66,-57,-70,-71,33
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-04",-79,-67,-59,-71,-69,33
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-05",-81,-71,-65,-71,-55,26
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-06",-80,-68,-58,-72,-74,35
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-07",-81,-59,-61,-64,-72,33
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-08",-82,-61,-61,-65,-73,33
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-09",-82,-60,-62,-66,-73,36
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-10",-82,-61,-62,-67,-74,36
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-11",-83,-63,-64,-67,-73,37
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-12",-84,-66,-69,-67,-57,28
"IN","India","Gujarat","","IN-GJ",NA,"2020-04-13",-82,-62,-62,-67,-72,37
