"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-15",5,-1,33,15,0,-2
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-16",6,4,17,10,1,-4
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-17",0,0,10,8,4,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-18",-1,0,6,7,4,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-19",0,0,7,6,3,0
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-20",1,0,10,9,3,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-21",3,0,14,11,4,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-22",4,2,38,22,3,-2
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-23",10,14,28,24,3,-3
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-24",4,1,28,13,-1,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-25",3,5,19,11,1,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-26",5,6,22,11,-1,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-27",19,23,32,23,-5,-5
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-28",-13,-60,77,-9,-62,7
"ES","Spain","Andalusia","","ES-AN",NA,"2020-02-29",-1,11,30,10,-6,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-01",4,10,10,13,3,-6
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-02",0,4,-2,7,-11,1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-03",0,4,4,7,3,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-04",2,4,14,8,0,0
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-05",2,4,2,7,3,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-06",2,2,12,7,0,0
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-07",2,1,24,12,3,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-08",10,10,22,16,5,-3
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-09",0,2,10,6,4,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-10",0,11,13,6,4,-1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-11",-2,13,12,2,3,0
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-12",-7,22,2,-4,1,1
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-13",-28,32,-20,-23,-6,5
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-14",-61,-6,-48,-44,-23,12
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-15",-87,-55,-78,-68,-46,15
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-16",-79,-34,-70,-68,-51,20
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-17",-84,-46,-74,-74,-59,23
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-18",-85,-46,-74,-77,-60,25
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-19",-85,-48,-75,-78,-63,26
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-20",-87,-48,-78,-81,-63,30
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-21",-92,-57,-87,-85,-63,26
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-22",-94,-78,-90,-88,-67,22
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-23",-85,-50,-77,-81,-65,26
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-24",-87,-54,-78,-83,-67,27
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-25",-87,-55,-78,-83,-68,28
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-26",-87,-56,-77,-83,-68,28
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-27",-88,-54,-79,-84,-67,32
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-28",-92,-59,-85,-86,-63,26
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-29",-94,-81,-88,-90,-65,21
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-30",-88,-58,-78,-84,-72,28
"ES","Spain","Andalusia","","ES-AN",NA,"2020-03-31",-92,-58,-82,-85,-74,29
"ES","Spain","Andalusia","","ES-AN",NA,"2020-04-01",-92,-55,-79,-84,-73,29
"ES","Spain","Andalusia","","ES-AN",NA,"2020-04-02",-92,-56,-81,-85,-74,30
"ES","Spain","Andalusia","","ES-AN",NA,"2020-04-03",-89,-51,-80,-85,-72,33
"ES","Spain","Andalusia","","ES-AN",NA,"2020-04-04",-92,-58,-85,-87,-64,26
"ES","Spain","Andalusia","","ES-AN",NA,"2020-04-05",-95,-80,-89,-90,-67,22
"ES","Spain","Andalusia","","ES-AN",NA,"2020-04-06",-87,-54,-78,-84,-72,28
