"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"BE","Belgium","Flanders","","BE-VLG",NA,"15/02/2020",2,1,15,6,1,-1
"BE","Belgium","Flanders","","BE-VLG",NA,"16/02/2020",-11,-3,-42,-5,-3,1
"BE","Belgium","Flanders","","BE-VLG",NA,"17/02/2020",0,2,10,6,3,0
"BE","Belgium","Flanders","","BE-VLG",NA,"18/02/2020",3,4,18,6,5,0
"BE","Belgium","Flanders","","BE-VLG",NA,"19/02/2020",4,1,18,6,4,0
"BE","Belgium","Flanders","","BE-VLG",NA,"20/02/2020",-2,0,5,4,3,0
"BE","Belgium","Flanders","","BE-VLG",NA,"21/02/2020",0,4,18,8,2,-1
"BE","Belgium","Flanders","","BE-VLG",NA,"22/02/2020",-3,1,-4,0,-2,0
"BE","Belgium","Flanders","","BE-VLG",NA,"23/02/2020",-10,-5,-33,0,-4,0
"BE","Belgium","Flanders","","BE-VLG",NA,"24/02/2020",8,1,17,-10,-24,4
"BE","Belgium","Flanders","","BE-VLG",NA,"25/02/2020",11,3,38,-6,-21,3
"BE","Belgium","Flanders","","BE-VLG",NA,"26/02/2020",1,-4,3,-11,-20,3
"BE","Belgium","Flanders","","BE-VLG",NA,"27/02/2020",0,0,-14,-15,-23,6
"BE","Belgium","Flanders","","BE-VLG",NA,"28/02/2020",-1,3,4,-10,-23,4
"BE","Belgium","Flanders","","BE-VLG",NA,"29/02/2020",-4,3,-7,-4,-5,1
"BE","Belgium","Flanders","","BE-VLG",NA,"01/03/2020",-2,7,-12,7,0,0
"BE","Belgium","Flanders","","BE-VLG",NA,"02/03/2020",-5,6,-10,1,3,1
"BE","Belgium","Flanders","","BE-VLG",NA,"03/03/2020",1,6,13,2,4,0
"BE","Belgium","Flanders","","BE-VLG",NA,"04/03/2020",1,4,15,2,4,0
"BE","Belgium","Flanders","","BE-VLG",NA,"05/03/2020",-6,1,-17,-1,2,2
"BE","Belgium","Flanders","","BE-VLG",NA,"06/03/2020",-1,6,4,3,2,0
"BE","Belgium","Flanders","","BE-VLG",NA,"07/03/2020",5,3,32,8,2,-1
"BE","Belgium","Flanders","","BE-VLG",NA,"08/03/2020",-3,3,-28,-2,0,0
"BE","Belgium","Flanders","","BE-VLG",NA,"09/03/2020",-2,4,12,-1,2,0
"BE","Belgium","Flanders","","BE-VLG",NA,"10/03/2020",-4,4,-4,-3,1,1
"BE","Belgium","Flanders","","BE-VLG",NA,"11/03/2020",-2,5,4,-3,1,1
"BE","Belgium","Flanders","","BE-VLG",NA,"12/03/2020",-7,30,6,-7,-1,3
"BE","Belgium","Flanders","","BE-VLG",NA,"13/03/2020",-9,45,-4,-17,-7,5
"BE","Belgium","Flanders","","BE-VLG",NA,"14/03/2020",-70,-7,-2,-35,-27,12
"BE","Belgium","Flanders","","BE-VLG",NA,"15/03/2020",-67,-15,12,-33,-29,9
"BE","Belgium","Flanders","","BE-VLG",NA,"16/03/2020",-31,17,16,-45,-36,14
"BE","Belgium","Flanders","","BE-VLG",NA,"17/03/2020",-34,40,32,-46,-43,16
"BE","Belgium","Flanders","","BE-VLG",NA,"18/03/2020",-60,-9,11,-56,-50,20
"BE","Belgium","Flanders","","BE-VLG",NA,"19/03/2020",-73,-16,-13,-66,-59,27
"BE","Belgium","Flanders","","BE-VLG",NA,"20/03/2020",-78,-17,-49,-71,-60,30
"BE","Belgium","Flanders","","BE-VLG",NA,"21/03/2020",-82,-34,-27,-64,-48,21
"BE","Belgium","Flanders","","BE-VLG",NA,"22/03/2020",-77,-38,-19,-59,-46,15
"BE","Belgium","Flanders","","BE-VLG",NA,"23/03/2020",-71,-20,-6,-68,-63,26
"BE","Belgium","Flanders","","BE-VLG",NA,"24/03/2020",-70,-15,7,-67,-63,27
"BE","Belgium","Flanders","","BE-VLG",NA,"25/03/2020",-74,-25,-5,-67,-62,25
"BE","Belgium","Flanders","","BE-VLG",NA,"26/03/2020",-75,-18,-13,-70,-64,29
