"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-15",5,6,53,34,2,-1
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-16",15,15,44,18,1,-1
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-17",2,6,22,5,1,2
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-18",8,7,56,8,2,0
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-19",-1,4,19,4,1,1
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-20",6,6,58,10,1,0
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-21",7,6,42,18,0,0
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-22",1,6,63,42,0,-1
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-23",25,22,101,29,3,-3
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-24",14,9,107,6,-18,3
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-25",6,7,45,1,-18,4
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-26",-2,1,15,-3,-15,3
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-27",-2,3,8,-7,-19,5
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-28",4,5,43,2,-19,4
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-02-29",-12,-1,-12,8,-5,1
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-01",6,9,8,9,3,-2
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-02",-6,0,-16,-15,-23,6
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-03",1,4,28,-9,-20,5
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-04",-3,0,22,-8,-17,3
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-05",-7,-1,-22,-18,-21,6
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-06",-3,0,5,-9,-21,5
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-07",-8,0,4,5,-5,1
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-08",8,10,44,11,2,-1
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-09",-3,4,0,-2,0,2
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-10",-5,3,0,-3,0,2
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-11",-1,3,39,1,1,1
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-12",-5,7,12,-4,0,1
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-13",-4,22,9,-4,-1,2
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-14",-18,4,26,-4,-4,4
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-15",-32,26,35,-15,-6,3
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-16",-42,46,-8,-33,-33,14
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-17",-68,-15,-35,-55,-53,24
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-18",-82,-45,-50,-75,-66,29
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-19",-82,-40,-56,-80,-69,33
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-20",-83,-41,-62,-83,-70,37
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-21",-88,-55,-74,-84,-57,25
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-22",-86,-66,-77,-87,-55,19
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-23",-82,-42,-65,-83,-73,33
"FR","France","Auvergne-Rhone-Alpes","","FR-ARA",NA,"2020-03-24",-83,-45,-64,-83,-73,35
