"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-15",6,8,118,6,0,-1
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-16",2,6,15,0,0,0
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-17",-1,-3,13,-4,-19,5
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-18",0,-4,4,-5,-10,4
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-19",-6,-9,-13,-9,-11,4
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-20",2,2,-1,0,0,1
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-21",3,-2,18,2,1,0
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-22",8,9,103,5,1,-1
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-23",4,5,26,7,-2,0
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-24",4,0,19,-1,1,1
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-25",14,3,30,2,1,-1
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-26",20,10,15,5,2,-3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-27",20,13,25,10,2,-3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-28",17,8,26,10,1,-3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-02-29",19,14,31,8,3,-4
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-01",20,17,8,12,3,-2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-02",15,10,17,1,2,-1
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-03",21,16,4,6,3,-2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-04",4,3,-17,-7,-2,1
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-05",17,18,48,6,3,-3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-06",11,5,43,10,2,-2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-07",13,13,43,11,5,-3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-08",18,18,63,18,3,-2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-09",7,7,-2,3,0,1
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-10",16,13,49,6,1,-2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-11",16,14,67,5,1,-2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-12",13,29,58,4,0,-2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-13",5,31,10,0,-1,0
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-14",-2,23,30,1,1,1
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-15",-3,15,-5,4,-3,2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-16",-5,26,0,-8,-13,5
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-17",-12,20,32,-8,-19,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-18",-16,16,42,-15,-23,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-19",-18,22,42,-18,-25,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-20",-28,9,-24,-31,-29,14
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-21",-34,8,-19,-27,-21,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-22",-32,11,-26,-27,-26,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-23",-32,2,-40,-36,-34,15
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-24",-37,-11,-2,-27,-39,16
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-25",-33,-9,21,-25,-40,15
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-26",-31,-4,12,-26,-39,15
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-27",-36,-9,-6,-32,-40,17
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-28",-44,-13,-46,-37,-32,13
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-29",-36,-9,-14,-31,-32,10
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-30",-39,-16,-39,-41,-41,18
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-03-31",-31,-3,-16,-35,-42,16
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-01",-25,5,0,-30,-42,14
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-02",-33,0,-9,-36,-43,16
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-03",-35,-1,-31,-41,-43,19
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-04",-50,-14,-63,-51,-37,16
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-05",-42,-7,-29,-45,-37,11
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-06",-38,-10,-24,-43,-43,17
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-07",-33,-8,-17,-36,-44,17
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-08",-34,-8,-10,-35,-44,16
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-09",-33,-3,-9,-36,-44,16
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-10",-37,-8,-12,-44,-54,21
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-11",-42,0,-43,-46,-36,13
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-12",-59,-35,-53,-48,-44,12
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-13",-35,-19,-32,-37,-42,17
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-14",-29,-10,-21,-30,-41,16
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-15",-18,-3,-10,-28,-41,14
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-16",-22,-1,-4,-31,-42,14
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-17",-30,-11,-20,-38,-41,18
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-18",-36,-7,-42,-39,-30,12
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-19",-47,-25,-61,-51,-37,13
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-20",-25,-11,-16,-38,-39,15
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-21",-18,-4,-2,-28,-40,14
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-22",-34,-22,-26,-37,-43,17
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-23",-17,2,18,-28,-41,14
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-24",-27,-11,-12,-35,-40,17
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-25",-30,-7,-22,-33,-30,10
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-26",-26,-4,-10,-33,-33,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-27",-19,-8,-13,-32,-38,14
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-28",-25,-13,-34,-31,-40,10
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-29",-12,0,1,-25,-39,13
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-04-30",-14,6,6,-23,-39,13
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-01",-18,2,-4,-25,-38,14
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-02",-23,5,-13,-25,-28,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-03",-19,5,-10,-24,-29,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-04",-14,1,-1,-26,-35,12
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-05",-10,5,-2,-21,-36,12
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-06",-11,7,31,-19,-37,11
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-07",-13,10,21,-20,-37,11
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-08",-23,-4,-15,-31,-38,16
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-09",-17,20,-6,-24,-26,6
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-10",-14,18,-4,-15,-26,4
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-11",-16,-2,4,-22,-34,12
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-12",-12,2,18,-21,-34,11
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-13",-10,5,22,-18,-34,11
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-14",-14,6,23,-27,-34,11
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-15",-16,-2,2,-36,-33,13
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-16",-23,-2,-30,-42,-24,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-17",-18,3,-7,-35,-25,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-18",-7,1,15,-33,-28,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-19",-1,4,35,-26,-29,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-20",-8,4,23,-25,-30,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-21",-5,8,39,-21,-30,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-22",-11,2,27,-25,-31,10
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-23",-21,-1,-27,-24,-20,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-24",-14,2,-6,-30,-24,6
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-25",-26,-13,-5,-42,-62,19
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-26",-7,2,11,-28,-28,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-27",-2,2,39,-25,-28,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-28",-7,2,33,-23,-28,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-29",-10,-2,22,-25,-28,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-30",-12,6,12,-22,-11,3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-05-31",-6,5,25,-15,-16,3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-01",-2,4,3,-25,-25,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-02",1,6,15,-23,-26,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-03",2,9,36,-20,-27,6
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-04",-1,9,42,-20,-27,6
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-05",-7,2,15,-18,-28,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-06",-10,5,8,-12,-15,3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-07",-5,7,8,-19,-17,3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-08",-7,-3,-4,-26,-26,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-09",1,3,20,-20,-26,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-10",3,7,45,-19,-26,6
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-11",1,8,52,-18,-26,6
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-12",-6,1,27,-21,-27,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-13",-7,9,19,-20,-13,2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-14",-3,9,30,-16,-17,3
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-15",-4,0,24,-20,-25,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-16",2,7,33,-19,-26,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-17",1,9,57,-20,-27,6
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-18",2,9,61,-18,-27,5
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-19",-5,2,38,-20,-28,6
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-20",-5,12,25,-16,-12,2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-21",-4,9,19,-17,-16,2
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-22",-7,-4,20,-19,-28,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-23",-1,0,18,-20,-28,8
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-24",0,3,35,-17,-28,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-25",-4,2,20,-18,-28,7
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-26",-10,-8,10,-21,-29,9
"US","UnitedStates","Louisiana","CaddoParish","",22017,"2020-06-27",-11,-2,-1,-21,-14,4
