"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"CO","Colombia","","","",NA,"2020-02-15",4,5,-5,1,7,1
"CO","Colombia","","","",NA,"2020-02-16",0,5,-5,-1,1,2
"CO","Colombia","","","",NA,"2020-02-17",-1,3,-4,6,15,-1
"CO","Colombia","","","",NA,"2020-02-18",-3,1,-3,10,17,-1
"CO","Colombia","","","",NA,"2020-02-19",-5,-5,-5,6,13,-2
"CO","Colombia","","","",NA,"2020-02-20",-5,-4,-6,2,7,-1
"CO","Colombia","","","",NA,"2020-02-21",-2,-1,-6,8,13,-1
"CO","Colombia","","","",NA,"2020-02-22",-2,-2,-8,2,4,0
"CO","Colombia","","","",NA,"2020-02-23",-7,-4,-11,-5,-2,2
"CO","Colombia","","","",NA,"2020-02-24",-7,-4,-9,6,11,0
"CO","Colombia","","","",NA,"2020-02-25",-8,-5,-9,8,13,0
"CO","Colombia","","","",NA,"2020-02-26",-6,-5,-5,7,13,-2
"CO","Colombia","","","",NA,"2020-02-27",-5,-2,-6,4,13,-2
"CO","Colombia","","","",NA,"2020-02-28",3,7,-4,10,20,-3
"CO","Colombia","","","",NA,"2020-02-29",8,11,-2,8,10,-1
"CO","Colombia","","","",NA,"2020-03-01",5,13,-2,4,3,1
"CO","Colombia","","","",NA,"2020-03-02",2,8,-4,12,17,-2
"CO","Colombia","","","",NA,"2020-03-03",0,7,-3,15,19,-2
"CO","Colombia","","","",NA,"2020-03-04",-1,2,-2,9,15,-2
"CO","Colombia","","","",NA,"2020-03-05",-1,4,-1,9,14,-2
"CO","Colombia","","","",NA,"2020-03-06",1,4,-3,12,21,-3
"CO","Colombia","","","",NA,"2020-03-07",3,5,-4,4,10,0
"CO","Colombia","","","",NA,"2020-03-08",6,5,-3,1,4,1
"CO","Colombia","","","",NA,"2020-03-09",-5,-1,-9,8,16,-1
"CO","Colombia","","","",NA,"2020-03-10",-7,-2,-9,13,18,-1
"CO","Colombia","","","",NA,"2020-03-11",-8,-3,-7,8,14,-2
"CO","Colombia","","","",NA,"2020-03-12",-9,-1,-8,3,13,-1
"CO","Colombia","","","",NA,"2020-03-13",-6,2,-11,4,18,-1
"CO","Colombia","","","",NA,"2020-03-14",-5,7,-10,-4,8,1
"CO","Colombia","","","",NA,"2020-03-15",-14,9,-16,-11,1,4
"CO","Colombia","","","",NA,"2020-03-16",-15,12,-18,-14,-3,5
"CO","Colombia","","","",NA,"2020-03-17",-23,13,-20,-19,-11,9
"CO","Colombia","","","",NA,"2020-03-18",-29,8,-24,-27,-20,11
"CO","Colombia","","","",NA,"2020-03-19",-31,7,-25,-29,-24,11
"CO","Colombia","","","",NA,"2020-03-20",-62,-29,-51,-63,-47,25
"CO","Colombia","","","",NA,"2020-03-21",-83,-55,-75,-78,-65,30
"CO","Colombia","","","",NA,"2020-03-22",-85,-64,-79,-77,-55,25
"CO","Colombia","","","",NA,"2020-03-23",-86,-66,-77,-84,-82,37
"CO","Colombia","","","",NA,"2020-03-24",-71,-41,-60,-65,-62,28
"CO","Colombia","","","",NA,"2020-03-25",-83,-64,-75,-80,-75,35
"CO","Colombia","","","",NA,"2020-03-26",-82,-61,-74,-80,-75,35
"CO","Colombia","","","",NA,"2020-03-27",-82,-59,-74,-80,-73,38
"CO","Colombia","","","",NA,"2020-03-28",-84,-61,-76,-80,-68,31
"CO","Colombia","","","",NA,"2020-03-29",-86,-68,-80,-82,-58,26
"CO","Colombia","","","",NA,"2020-03-30",-79,-56,-71,-79,-73,34
"CO","Colombia","","","",NA,"2020-03-31",-78,-52,-69,-78,-72,34
"CO","Colombia","","","",NA,"2020-04-01",-78,-53,-69,-78,-73,33
"CO","Colombia","","","",NA,"2020-04-02",-78,-51,-68,-78,-73,34
"CO","Colombia","","","",NA,"2020-04-03",-79,-53,-71,-78,-71,36
"CO","Colombia","","","",NA,"2020-04-04",-82,-58,-74,-79,-66,31
"CO","Colombia","","","",NA,"2020-04-05",-85,-66,-79,-81,-57,26
"CO","Colombia","","","",NA,"2020-04-06",-77,-54,-69,-78,-72,34
"CO","Colombia","","","",NA,"2020-04-07",-76,-49,-67,-76,-71,33
"CO","Colombia","","","",NA,"2020-04-08",-76,-47,-65,-76,-72,32
"CO","Colombia","","","",NA,"2020-04-09",-85,-63,-76,-85,-83,38
"CO","Colombia","","","",NA,"2020-04-10",-90,-75,-82,-88,-85,42
"CO","Colombia","","","",NA,"2020-04-11",-84,-65,-77,-81,-69,32
"CO","Colombia","","","",NA,"2020-04-12",-86,-70,-80,-81,-57,26
"CO","Colombia","","","",NA,"2020-04-13",-77,-55,-69,-77,-69,33
"CO","Colombia","","","",NA,"2020-04-14",-77,-54,-69,-77,-69,33
"CO","Colombia","","","",NA,"2020-04-15",-76,-52,-67,-76,-69,32
"CO","Colombia","","","",NA,"2020-04-16",-77,-52,-67,-77,-69,33
"CO","Colombia","","","",NA,"2020-04-17",-76,-49,-67,-75,-66,35
"CO","Colombia","","","",NA,"2020-04-18",-83,-64,-75,-77,-62,30
"CO","Colombia","","","",NA,"2020-04-19",-84,-69,-79,-79,-54,25
"CO","Colombia","","","",NA,"2020-04-20",-76,-57,-68,-76,-66,32
"CO","Colombia","","","",NA,"2020-04-21",-76,-55,-68,-74,-66,32
"CO","Colombia","","","",NA,"2020-04-22",-77,-58,-68,-76,-66,32
"CO","Colombia","","","",NA,"2020-04-23",-75,-54,-67,-75,-66,32
"CO","Colombia","","","",NA,"2020-04-24",-76,-55,-69,-75,-63,34
