"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-15",4,-4,16,8,-2,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-16",5,-5,-4,3,0,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-17",11,1,33,-1,-29,6
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-18",-1,-5,-14,0,-8,3
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-19",2,-1,12,4,0,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-20",2,-1,2,3,2,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-21",1,-5,-3,1,1,1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-22",10,-1,74,10,3,-2
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-23",9,0,64,14,2,-1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-24",4,2,45,3,4,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-25",1,-1,4,1,2,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-26",5,1,3,2,2,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-27",3,1,4,3,3,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-28",4,0,1,3,3,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-02-29",9,0,27,6,2,-2
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-01",10,5,-1,10,3,-1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-02",7,8,31,2,4,-1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-03",6,10,19,5,3,-1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-04",6,8,22,4,2,-1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-05",7,8,29,5,3,-1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-06",2,1,1,2,2,1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-07",10,6,50,7,3,-1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-08",8,3,55,10,2,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-09",9,8,95,2,2,-1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-10",4,9,24,0,1,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-11",5,12,30,-3,-1,0
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-12",5,34,10,-9,-2,2
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-13",-4,30,6,-18,-12,6
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-14",-7,16,95,-12,-3,3
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-15",-13,4,56,-19,-8,5
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-16",-7,26,16,-25,-23,9
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-17",-27,8,-10,-30,-31,14
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-18",-27,6,46,-30,-34,14
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-19",-33,2,-12,-40,-36,17
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-20",-32,12,12,-41,-37,18
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-21",-38,1,100,-38,-26,11
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-22",-43,-15,27,-48,-29,11
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-23",-47,-24,-46,-53,-45,21
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-24",-43,-16,17,-46,-47,21
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-25",-46,-19,-21,-51,-49,22
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-26",-41,-14,55,-48,-48,21
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-27",-42,-16,55,-51,-47,22
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-28",-48,-20,29,-55,-35,15
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-29",-56,-32,-52,-64,-38,15
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-30",-43,-19,-6,-53,-49,21
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-03-31",-42,-18,8,-51,-51,22
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-01",-40,-11,28,-49,-51,21
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-02",-44,-12,-3,-54,-51,23
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-03",-46,-12,-35,-59,-52,26
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-04",-47,-15,88,-53,-38,15
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-05",-50,-26,23,-61,-38,13
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-06",-39,-16,60,-52,-52,21
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-07",-41,-16,42,-50,-53,22
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-08",-46,-17,-3,-54,-54,23
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-09",-48,-17,-32,-59,-55,25
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-10",-45,-10,-10,-59,-62,28
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-11",-44,-9,76,-54,-40,15
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-12",-65,-50,25,-62,-45,13
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-13",-57,-41,-52,-66,-56,26
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-14",-39,-14,35,-50,-52,21
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-15",-36,-14,20,-52,-52,22
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-16",-40,-15,8,-53,-52,23
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-17",-42,-18,5,-55,-51,24
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-18",-51,-24,-12,-59,-38,17
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-19",-41,-23,73,-55,-34,11
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-20",-39,-19,17,-52,-50,21
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-21",-46,-25,-28,-55,-52,24
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-22",-40,-17,5,-51,-52,22
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-23",-41,-18,1,-52,-51,22
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-24",-45,-22,-33,-58,-51,26
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-25",-37,-17,174,-44,-33,11
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-26",-50,-29,-41,-63,-36,14
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-27",-40,-20,-18,-54,-49,22
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-28",-33,-14,55,-45,-50,14
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-29",-37,-17,19,-48,-51,21
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-04-30",-42,-18,-24,-55,-51,23
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-01",-37,-14,11,-51,-48,23
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-02",-32,-11,180,-39,-30,10
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-03",-30,-13,116,-44,-28,8
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-04",-30,-11,34,-48,-48,19
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-05",-27,-5,46,-43,-48,18
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-06",-35,-13,4,-47,-49,20
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-07",-31,-8,63,-44,-48,19
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-08",-37,-10,-6,-51,-47,22
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-09",-35,1,37,-48,-30,12
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-10",-29,-7,61,-46,-26,8
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-11",-35,-18,7,-47,-46,19
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-12",-30,-11,44,-42,-46,18
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-13",-29,-11,58,-40,-46,18
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-14",-29,-11,74,-40,-46,18
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-15",-31,-13,61,-45,-45,20
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-16",-29,-11,193,-36,-26,8
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-17",-29,-15,94,-44,-24,8
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-18",-26,-12,40,-43,-44,17
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-19",-25,-8,53,-39,-44,17
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-20",-21,-7,74,-34,-44,17
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-21",-22,-6,84,-34,-44,17
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-22",-23,-6,92,-35,-43,17
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-23",-32,-10,43,-39,-25,11
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-24",-20,-6,137,-33,-20,5
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-25",-29,-14,94,-50,-74,23
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-26",-23,-10,76,-33,-42,16
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-27",-20,-8,87,-33,-42,15
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-28",-24,-8,29,-37,-41,17
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-29",-26,-11,44,-38,-40,18
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-30",-21,-8,193,-26,-13,6
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-05-31",-18,-10,125,-29,-11,5
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-01",-14,-5,60,-33,-39,14
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-02",-17,-4,52,-32,-40,15
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-03",-15,-1,57,-31,-40,15
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-04",-14,-1,96,-30,-39,14
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-05",-20,-6,33,-36,-39,16
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-06",-17,-5,169,-25,-13,6
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-07",-13,-6,141,-27,-12,4
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-08",-10,-3,100,-29,-38,13
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-09",-11,-2,95,-28,-38,13
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-10",-11,-2,91,-27,-39,13
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-11",-20,-6,15,-33,-39,16
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-12",-14,-2,113,-26,-37,13
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-13",-14,-2,234,-14,-10,4
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-14",-12,-6,146,-17,-9,3
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-15",-8,-2,96,-25,-37,12
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-16",-8,0,102,-23,-38,12
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-17",-7,0,108,-23,-38,12
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-18",-8,1,98,-25,-38,12
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-19",-12,0,109,-24,-37,10
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-20",-11,5,218,-14,-10,2
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-21",-10,-1,134,-18,-7,1
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-22",-7,-4,100,-25,-40,11
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-23",-7,-1,97,-24,-39,11
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-24",-8,-2,90,-25,-38,12
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-25",-8,0,109,-22,-37,11
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-26",-13,-4,109,-23,-37,11
"US","UnitedStates","Connecticut","","US-CT",NA,"2020-06-27",-18,-8,119,-18,-13,5
