"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"DK","Denmark","","","",NA,"2020-02-15",-2,-1,-4,2,-6,0
"DK","Denmark","","","",NA,"2020-02-16",-7,-7,-33,-5,-6,1
"DK","Denmark","","","",NA,"2020-02-17",-3,-1,0,-3,-2,1
"DK","Denmark","","","",NA,"2020-02-18",1,1,9,-1,-1,1
"DK","Denmark","","","",NA,"2020-02-19",0,0,12,-2,-1,1
"DK","Denmark","","","",NA,"2020-02-20",1,-1,-3,-1,-2,1
"DK","Denmark","","","",NA,"2020-02-21",1,1,15,-1,-3,1
"DK","Denmark","","","",NA,"2020-02-22",-6,-3,-24,-4,-3,1
"DK","Denmark","","","",NA,"2020-02-23",1,-2,-9,0,0,0
"DK","Denmark","","","",NA,"2020-02-24",-2,-1,12,2,2,0
"DK","Denmark","","","",NA,"2020-02-25",-3,-3,-4,1,3,1
"DK","Denmark","","","",NA,"2020-02-26",-2,-2,1,0,3,1
"DK","Denmark","","","",NA,"2020-02-27",2,1,21,2,3,0
"DK","Denmark","","","",NA,"2020-02-28",17,1,23,6,2,-1
"DK","Denmark","","","",NA,"2020-02-29",10,-4,-17,5,0,0
"DK","Denmark","","","",NA,"2020-03-01",21,-7,-5,5,1,0
"DK","Denmark","","","",NA,"2020-03-02",11,-5,28,1,2,0
"DK","Denmark","","","",NA,"2020-03-03",10,-5,9,-1,2,0
"DK","Denmark","","","",NA,"2020-03-04",9,-5,16,1,2,0
"DK","Denmark","","","",NA,"2020-03-05",10,-3,30,-1,2,0
"DK","Denmark","","","",NA,"2020-03-06",7,-3,11,-2,1,0
"DK","Denmark","","","",NA,"2020-03-07",10,-2,47,7,1,-1
"DK","Denmark","","","",NA,"2020-03-08",11,-8,-7,-1,-2,0
"DK","Denmark","","","",NA,"2020-03-09",5,-5,14,-3,0,1
"DK","Denmark","","","",NA,"2020-03-10",3,-4,-6,-7,0,2
"DK","Denmark","","","",NA,"2020-03-11",5,5,25,-10,-1,2
"DK","Denmark","","","",NA,"2020-03-12",-11,22,-16,-36,-28,12
"DK","Denmark","","","",NA,"2020-03-13",-28,-7,2,-48,-44,16
"DK","Denmark","","","",NA,"2020-03-14",-31,-9,86,-36,-16,8
"DK","Denmark","","","",NA,"2020-03-15",-33,-24,-8,-50,-22,8
"DK","Denmark","","","",NA,"2020-03-16",-24,-14,50,-52,-50,17
"DK","Denmark","","","",NA,"2020-03-17",-25,-4,38,-55,-52,18
"DK","Denmark","","","",NA,"2020-03-18",-41,-21,11,-61,-54,20
"DK","Denmark","","","",NA,"2020-03-19",-39,-20,104,-58,-55,19
"DK","Denmark","","","",NA,"2020-03-20",-44,-22,64,-62,-56,21
"DK","Denmark","","","",NA,"2020-03-21",-48,-21,85,-55,-27,11
"DK","Denmark","","","",NA,"2020-03-22",-38,-25,49,-60,-28,9
"DK","Denmark","","","",NA,"2020-03-23",-36,-20,54,-60,-55,19
"DK","Denmark","","","",NA,"2020-03-24",-36,-18,61,-60,-55,19
"DK","Denmark","","","",NA,"2020-03-25",-37,-18,67,-59,-55,19
"DK","Denmark","","","",NA,"2020-03-26",-36,-17,91,-59,-55,19
"DK","Denmark","","","",NA,"2020-03-27",-39,-18,96,-61,-55,19
"DK","Denmark","","","",NA,"2020-03-28",-43,-14,79,-56,-28,10
"DK","Denmark","","","",NA,"2020-03-29",-37,-22,35,-60,-28,9
"DK","Denmark","","","",NA,"2020-03-30",-33,-18,53,-59,-54,18
"DK","Denmark","","","",NA,"2020-03-31",-23,-4,70,-54,-53,17
"DK","Denmark","","","",NA,"2020-04-01",-32,-12,13,-58,-54,19
"DK","Denmark","","","",NA,"2020-04-02",-34,-13,11,-61,-55,20
"DK","Denmark","","","",NA,"2020-04-03",-35,-10,32,-61,-55,19
"DK","Denmark","","","",NA,"2020-04-04",-38,-8,59,-53,-25,10
"DK","Denmark","","","",NA,"2020-04-05",-22,-12,118,-49,-23,7
"DK","Denmark","","","",NA,"2020-04-06",-15,-5,161,-52,-59,16
"DK","Denmark","","","",NA,"2020-04-07",-13,4,167,-51,-59,16
"DK","Denmark","","","",NA,"2020-04-08",-9,11,131,-51,-60,15
"DK","Denmark","","","",NA,"2020-04-09",-40,-16,188,-62,-82,22
"DK","Denmark","","","",NA,"2020-04-10",-60,-36,172,-65,-82,24
"DK","Denmark","","","",NA,"2020-04-11",-31,4,50,-52,-23,8
"DK","Denmark","","","",NA,"2020-04-12",-36,-20,123,-47,-23,6
"DK","Denmark","","","",NA,"2020-04-13",-56,-30,107,-65,-84,24
"DK","Denmark","","","",NA,"2020-04-14",-15,4,65,-53,-49,16
"DK","Denmark","","","",NA,"2020-04-15",-23,-5,58,-51,-48,17
"DK","Denmark","","","",NA,"2020-04-16",-23,-4,95,-50,-47,16
"DK","Denmark","","","",NA,"2020-04-17",-26,-6,127,-50,-45,15
"DK","Denmark","","","",NA,"2020-04-18",-33,-5,121,-43,-14,7
"DK","Denmark","","","",NA,"2020-04-19",-21,-12,127,-43,-14,5
"DK","Denmark","","","",NA,"2020-04-20",-14,-5,126,-42,-41,13
"DK","Denmark","","","",NA,"2020-04-21",-15,-2,142,-40,-39,13
"DK","Denmark","","","",NA,"2020-04-22",-18,-4,137,-40,-39,12
"DK","Denmark","","","",NA,"2020-04-23",-18,-3,171,-40,-39,12
"DK","Denmark","","","",NA,"2020-04-24",-25,-5,117,-46,-40,13
"DK","Denmark","","","",NA,"2020-04-25",-29,-3,123,-40,-13,6
"DK","Denmark","","","",NA,"2020-04-26",-22,-12,80,-45,-16,5
"DK","Denmark","","","",NA,"2020-04-27",-20,-9,55,-44,-39,13
"DK","Denmark","","","",NA,"2020-04-28",-20,-6,99,-39,-37,11
"DK","Denmark","","","",NA,"2020-04-29",-26,-9,15,-45,-38,14
"DK","Denmark","","","",NA,"2020-04-30",-28,-1,11,-44,-39,14
"DK","Denmark","","","",NA,"2020-05-01",-29,0,68,-46,-49,16
"DK","Denmark","","","",NA,"2020-05-02",-34,0,54,-40,-14,7
"DK","Denmark","","","",NA,"2020-05-03",-20,-7,106,-35,-9,4
"DK","Denmark","","","",NA,"2020-05-04",-21,-2,83,-37,-35,11
"DK","Denmark","","","",NA,"2020-05-05",-22,0,96,-35,-33,11
"DK","Denmark","","","",NA,"2020-05-06",-22,2,77,-35,-33,11
"DK","Denmark","","","",NA,"2020-05-07",-12,17,150,-31,-33,7
"DK","Denmark","","","",NA,"2020-05-08",-56,-30,226,-51,-78,19
"DK","Denmark","","","",NA,"2020-05-09",-22,11,173,-27,-6,3
"DK","Denmark","","","",NA,"2020-05-10",-17,1,78,-33,-5,2
"DK","Denmark","","","",NA,"2020-05-11",-16,1,62,-35,-32,11
"DK","Denmark","","","",NA,"2020-05-12",-21,1,42,-36,-31,11
"DK","Denmark","","","",NA,"2020-05-13",-20,1,82,-33,-30,11
"DK","Denmark","","","",NA,"2020-05-14",-19,1,77,-35,-30,9
"DK","Denmark","","","",NA,"2020-05-15",-25,-2,57,-39,-31,10
"DK","Denmark","","","",NA,"2020-05-16",-30,0,38,-37,-8,6
"DK","Denmark","","","",NA,"2020-05-17",-22,-6,33,-41,-7,5
"DK","Denmark","","","",NA,"2020-05-18",-13,-3,32,-32,-25,9
"DK","Denmark","","","",NA,"2020-05-19",-9,3,103,-26,-22,8
"DK","Denmark","","","",NA,"2020-05-20",6,15,172,-18,-22,4
"DK","Denmark","","","",NA,"2020-05-21",-38,-21,337,-42,-77,16
"DK","Denmark","","","",NA,"2020-05-22",-7,2,144,-44,-60,14
"DK","Denmark","","","",NA,"2020-05-23",-17,-1,121,-28,2,3
"DK","Denmark","","","",NA,"2020-05-24",-15,-8,15,-36,-3,2
"DK","Denmark","","","",NA,"2020-05-25",-5,-1,107,-27,-24,7
"DK","Denmark","","","",NA,"2020-05-26",-4,0,156,-22,-20,6
"DK","Denmark","","","",NA,"2020-05-27",-6,0,90,-24,-19,7
"DK","Denmark","","","",NA,"2020-05-28",-2,4,152,-22,-19,6
"DK","Denmark","","","",NA,"2020-05-29",2,9,200,-18,-18,3
