"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"PR","PuertoRico","Florida","","",NA,"2020-02-17",NA,NA,NA,NA,-32,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-16",NA,NA,NA,NA,-38,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-17",NA,NA,NA,NA,-45,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-18",NA,NA,NA,NA,-56,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-19",NA,NA,NA,NA,-56,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-20",NA,NA,NA,NA,-51,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-23",NA,NA,NA,NA,-50,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-24",NA,NA,NA,NA,-48,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-25",NA,NA,NA,NA,-56,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-26",NA,NA,NA,NA,-47,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-27",NA,NA,NA,NA,-49,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-30",NA,NA,NA,NA,-48,NA
"PR","PuertoRico","Florida","","",NA,"2020-03-31",NA,NA,NA,NA,-55,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-01",NA,NA,NA,NA,-56,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-02",NA,NA,NA,NA,-56,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-03",NA,NA,NA,NA,-54,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-06",NA,NA,NA,NA,-52,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-07",NA,NA,NA,NA,-57,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-08",NA,NA,NA,NA,-63,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-09",NA,NA,NA,NA,-63,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-10",NA,NA,NA,NA,-79,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-13",NA,NA,NA,NA,-48,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-14",NA,NA,NA,NA,-52,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-15",NA,NA,NA,NA,-51,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-16",NA,NA,NA,NA,-49,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-17",NA,NA,NA,NA,-54,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-20",NA,NA,NA,NA,-51,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-21",NA,NA,NA,NA,-47,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-22",NA,NA,NA,NA,-48,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-23",NA,NA,NA,NA,-46,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-24",NA,NA,NA,NA,-45,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-27",NA,NA,NA,NA,-40,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-28",NA,NA,NA,NA,-45,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-29",NA,NA,NA,NA,-49,NA
"PR","PuertoRico","Florida","","",NA,"2020-04-30",NA,NA,NA,NA,-43,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-01",NA,NA,NA,NA,-41,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-04",NA,NA,NA,NA,-37,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-05",NA,NA,NA,NA,-45,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-06",NA,NA,NA,NA,-36,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-07",NA,NA,NA,NA,-46,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-08",NA,NA,NA,NA,-38,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-11",NA,NA,NA,NA,-39,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-12",NA,NA,NA,NA,-38,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-13",NA,NA,NA,NA,-41,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-14",NA,NA,NA,NA,-39,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-15",NA,NA,NA,NA,-31,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-18",NA,NA,NA,NA,-32,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-19",NA,NA,NA,NA,-32,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-20",NA,NA,NA,NA,-37,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-21",NA,NA,NA,NA,-37,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-22",NA,NA,NA,NA,-30,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-25",NA,NA,NA,NA,-50,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-26",NA,NA,NA,NA,-31,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-27",NA,NA,NA,NA,-32,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-28",NA,NA,NA,NA,-36,NA
"PR","PuertoRico","Florida","","",NA,"2020-05-29",NA,NA,NA,NA,-33,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-01",NA,NA,NA,NA,-27,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-02",NA,NA,NA,NA,-26,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-03",NA,NA,NA,NA,-31,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-04",NA,NA,NA,NA,-28,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-05",NA,NA,NA,NA,-28,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-08",NA,NA,NA,NA,-28,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-09",NA,NA,NA,NA,-22,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-10",NA,NA,NA,NA,-33,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-11",NA,NA,NA,NA,-27,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-15",NA,NA,NA,NA,-20,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-16",NA,NA,NA,NA,-21,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-17",NA,NA,NA,NA,-25,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-18",NA,NA,NA,NA,-29,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-22",NA,NA,NA,NA,-29,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-23",NA,NA,NA,NA,-33,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-24",NA,NA,NA,NA,-31,NA
"PR","PuertoRico","Florida","","",NA,"2020-06-25",NA,NA,NA,NA,-30,NA
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-15",2,0,9,2,-1,-1
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-16",4,1,8,2,-2,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-17",5,1,24,0,-19,4
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-18",3,2,13,6,1,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-19",3,0,15,5,2,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-20",2,1,10,4,1,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-21",0,-1,-12,0,0,1
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-22",3,0,8,2,1,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-23",5,2,20,4,0,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-24",3,1,12,3,2,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-25",3,1,6,5,2,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-26",5,1,-9,4,1,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-27",8,6,2,7,2,-1
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-28",5,4,4,5,1,-1
"US","UnitedStates","Florida","","US-FL",NA,"2020-02-29",6,4,8,6,2,-2
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-01",8,7,10,7,1,-1
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-02",7,7,8,3,1,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-03",8,10,10,3,2,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-04",6,6,14,1,1,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-05",5,5,8,2,1,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-06",3,3,9,-1,1,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-07",4,3,13,2,2,-1
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-08",4,3,-1,1,0,1
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-09",5,5,6,-1,0,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-10",5,6,11,1,0,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-11",6,7,20,-1,0,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-12",5,17,17,-2,-1,0
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-13",1,22,14,-8,-5,2
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-14",-6,16,8,-10,-1,2
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-15",-9,9,12,-13,-6,3
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-16",-6,14,0,-16,-18,6
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-17",-11,14,1,-18,-22,8
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-18",-19,7,0,-26,-26,10
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-19",-23,6,-7,-33,-29,12
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-20",-29,6,-15,-38,-31,14
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-21",-39,-3,-33,-42,-26,11
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-22",-43,-12,-33,-49,-33,11
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-23",-37,-12,-33,-46,-36,15
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-24",-38,-12,-33,-46,-39,16
"US","UnitedStates","Florida","","US-FL",NA,"2020-03-25",-38,-13,-33,-48,-40,17
