"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-15",2,1,15,5,2,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-16",-5,-4,-21,-5,-2,1
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-17",0,0,12,2,0,1
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-18",6,6,21,0,2,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-19",6,1,22,0,2,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-20",2,2,0,0,2,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-21",6,4,24,3,-1,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-22",-2,-1,-2,5,-3,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-23",-2,-14,-37,-2,-2,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-24",13,-7,9,-15,-26,3
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-25",17,6,36,-12,-23,3
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-26",8,-2,18,-15,-20,2
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-27",2,-2,-3,-18,-21,3
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-28",5,-1,18,-12,-21,2
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-02-29",-3,1,-2,-5,-3,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-01",4,4,4,-1,1,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-02",-5,-2,-6,-1,2,1
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-03",4,5,17,-1,3,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-04",4,2,20,2,3,0
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-05",-4,-1,-8,-2,2,1
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-06",1,3,11,0,2,1
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-07",4,1,37,6,1,-1
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-08",-4,0,-13,-5,0,1
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-09",-1,2,7,-2,2,1
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-10",-5,2,-5,-4,1,2
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-11",2,4,17,-5,-1,2
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-12",-6,11,-2,-8,-1,3
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-13",-11,22,1,-24,-8,6
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-14",-15,8,30,-22,-5,5
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-15",-29,12,33,-27,-9,5
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-16",-23,18,35,-49,-35,13
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-17",-25,13,61,-53,-41,15
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-18",-30,4,52,-53,-42,15
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-19",-37,4,10,-59,-45,18
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-20",-44,-2,0,-59,-42,18
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-21",-47,-6,26,-47,-23,12
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-22",-58,-15,26,-49,-30,9
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-23",-34,-6,11,-62,-47,17
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-24",-40,-6,28,-63,-49,19
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-25",-42,-13,34,-61,-48,17
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-26",-45,-12,17,-64,-50,20
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-27",-47,-13,32,-60,-46,19
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-28",-52,-16,13,-51,-27,13
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-29",-66,-28,-29,-62,-33,10
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-30",-41,-18,-3,-66,-49,19
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-03-31",-37,-10,46,-62,-50,18
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-04-01",-40,-14,28,-61,-47,17
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-04-02",-45,-13,0,-65,-49,20
"NL","Netherlands","Gelderland","","NL-GE",NA,"2020-04-03",-47,-12,5,-63,-46,19
