"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"FR","France","HautsdeFrance","","FR-HDF",NA,"15/02/2020",-3,-2,4,7,-2,0
"FR","France","HautsdeFrance","","FR-HDF",NA,"16/02/2020",-1,-7,-31,-1,-2,0
"FR","France","HautsdeFrance","","FR-HDF",NA,"17/02/2020",5,0,12,-9,-20,4
"FR","France","HautsdeFrance","","FR-HDF",NA,"18/02/2020",4,-1,23,-9,-19,4
"FR","France","HautsdeFrance","","FR-HDF",NA,"19/02/2020",-3,-6,15,-9,-16,2
"FR","France","HautsdeFrance","","FR-HDF",NA,"20/02/2020",-4,-5,-2,-11,-21,4
"FR","France","HautsdeFrance","","FR-HDF",NA,"21/02/2020",-5,-5,20,-5,-22,5
"FR","France","HautsdeFrance","","FR-HDF",NA,"22/02/2020",-12,-8,-5,7,-9,0
"FR","France","HautsdeFrance","","FR-HDF",NA,"23/02/2020",-4,-5,-17,2,-2,0
"FR","France","HautsdeFrance","","FR-HDF",NA,"24/02/2020",1,-3,6,-14,-26,5
"FR","France","HautsdeFrance","","FR-HDF",NA,"25/02/2020",0,-2,17,-15,-24,5
"FR","France","HautsdeFrance","","FR-HDF",NA,"26/02/2020",-4,-4,14,-14,-20,3
"FR","France","HautsdeFrance","","FR-HDF",NA,"27/02/2020",-10,-7,-20,-19,-25,7
"FR","France","HautsdeFrance","","FR-HDF",NA,"28/02/2020",-6,-2,-13,-14,-24,6
"FR","France","HautsdeFrance","","FR-HDF",NA,"29/02/2020",-10,1,-22,-4,-9,1
"FR","France","HautsdeFrance","","FR-HDF",NA,"01/03/2020",1,7,-6,3,5,0
"FR","France","HautsdeFrance","","FR-HDF",NA,"02/03/2020",-5,5,-6,-3,-1,2
"FR","France","HautsdeFrance","","FR-HDF",NA,"03/03/2020",-2,7,14,-4,1,1
"FR","France","HautsdeFrance","","FR-HDF",NA,"04/03/2020",-6,0,3,-5,0,2
"FR","France","HautsdeFrance","","FR-HDF",NA,"05/03/2020",-7,0,-21,-7,-1,2
"FR","France","HautsdeFrance","","FR-HDF",NA,"06/03/2020",-1,3,11,2,0,1
"FR","France","HautsdeFrance","","FR-HDF",NA,"07/03/2020",-4,1,15,-1,1,1
"FR","France","HautsdeFrance","","FR-HDF",NA,"08/03/2020",-3,-1,-21,-9,0,1
"FR","France","HautsdeFrance","","FR-HDF",NA,"09/03/2020",-1,2,12,-6,-3,2
"FR","France","HautsdeFrance","","FR-HDF",NA,"10/03/2020",-6,0,-6,-10,-3,3
"FR","France","HautsdeFrance","","FR-HDF",NA,"11/03/2020",-7,-1,-3,-10,-3,2
"FR","France","HautsdeFrance","","FR-HDF",NA,"12/03/2020",-8,3,4,-9,-3,2
