"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"FR","France","IledeFrance","","FR-IDF",NA,"15/02/2020",-12,-10,5,4,-8,-1
"FR","France","IledeFrance","","FR-IDF",NA,"16/02/2020",-6,-6,-8,4,-1,-2
"FR","France","IledeFrance","","FR-IDF",NA,"17/02/2020",-2,-3,11,-11,-20,4
"FR","France","IledeFrance","","FR-IDF",NA,"18/02/2020",-1,-2,15,-8,-18,3
"FR","France","IledeFrance","","FR-IDF",NA,"19/02/2020",-7,-9,-5,-10,-15,2
"FR","France","IledeFrance","","FR-IDF",NA,"20/02/2020",-3,-9,-1,-8,-19,4
"FR","France","IledeFrance","","FR-IDF",NA,"21/02/2020",-4,-3,8,-6,-18,4
"FR","France","IledeFrance","","FR-IDF",NA,"22/02/2020",-8,-6,9,6,-8,0
"FR","France","IledeFrance","","FR-IDF",NA,"23/02/2020",-2,0,5,7,-2,0
"FR","France","IledeFrance","","FR-IDF",NA,"24/02/2020",-1,1,11,0,2,1
"FR","France","IledeFrance","","FR-IDF",NA,"25/02/2020",-3,0,4,1,2,0
"FR","France","IledeFrance","","FR-IDF",NA,"26/02/2020",-4,-2,-3,-3,2,1
"FR","France","IledeFrance","","FR-IDF",NA,"27/02/2020",-2,-4,-7,0,1,1
"FR","France","IledeFrance","","FR-IDF",NA,"28/02/2020",-2,4,-5,3,3,1
"FR","France","IledeFrance","","FR-IDF",NA,"29/02/2020",-4,3,-16,5,1,1
"FR","France","IledeFrance","","FR-IDF",NA,"01/03/2020",-11,0,-33,-2,-2,1
"FR","France","IledeFrance","","FR-IDF",NA,"02/03/2020",-6,5,-15,-4,2,2
"FR","France","IledeFrance","","FR-IDF",NA,"03/03/2020",-4,8,1,-3,2,0
"FR","France","IledeFrance","","FR-IDF",NA,"04/03/2020",-8,2,-16,-7,2,1
"FR","France","IledeFrance","","FR-IDF",NA,"05/03/2020",-8,-5,-19,-4,1,2
"FR","France","IledeFrance","","FR-IDF",NA,"06/03/2020",-6,6,-8,-2,3,1
"FR","France","IledeFrance","","FR-IDF",NA,"07/03/2020",-8,2,4,1,0,1
"FR","France","IledeFrance","","FR-IDF",NA,"08/03/2020",-11,-2,-23,-6,-3,1
"FR","France","IledeFrance","","FR-IDF",NA,"09/03/2020",-7,1,-4,-8,0,2
"FR","France","IledeFrance","","FR-IDF",NA,"10/03/2020",-10,2,-10,-8,-1,2
"FR","France","IledeFrance","","FR-IDF",NA,"11/03/2020",-9,1,-1,-9,-1,1
"FR","France","IledeFrance","","FR-IDF",NA,"12/03/2020",-9,4,-5,-9,-2,2
"FR","France","IledeFrance","","FR-IDF",NA,"13/03/2020",-14,18,-11,-12,-3,4
"FR","France","IledeFrance","","FR-IDF",NA,"14/03/2020",-28,4,-34,-20,-8,6
"FR","France","IledeFrance","","FR-IDF",NA,"15/03/2020",-53,25,34,-24,-17,5
"FR","France","IledeFrance","","FR-IDF",NA,"16/03/2020",-47,46,-39,-42,-47,18
"FR","France","IledeFrance","","FR-IDF",NA,"17/03/2020",-73,-11,-65,-66,-68,30
"FR","France","IledeFrance","","FR-IDF",NA,"18/03/2020",-84,-38,-69,-78,-76,35
"FR","France","IledeFrance","","FR-IDF",NA,"19/03/2020",-83,-37,-69,-79,-78,38
"FR","France","IledeFrance","","FR-IDF",NA,"20/03/2020",-84,-37,-80,-81,-78,41
"FR","France","IledeFrance","","FR-IDF",NA,"21/03/2020",-88,-51,-89,-82,-64,26
"FR","France","IledeFrance","","FR-IDF",NA,"22/03/2020",-89,-58,-86,-83,-59,19
"FR","France","IledeFrance","","FR-IDF",NA,"23/03/2020",-83,-38,-80,-83,-80,38
"FR","France","IledeFrance","","FR-IDF",NA,"24/03/2020",-84,-40,-81,-83,-81,40
"FR","France","IledeFrance","","FR-IDF",NA,"25/03/2020",-85,-45,-81,-84,-81,38
"FR","France","IledeFrance","","FR-IDF",NA,"26/03/2020",-84,-43,-80,-84,-81,40
"FR","France","IledeFrance","","FR-IDF",NA,"27/03/2020",-85,-42,-82,-84,-80,42
