"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-15",4,3,10,3,3,-1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-16",8,2,29,3,2,-1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-17",2,-3,-14,-13,-23,6
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-18",1,-1,5,2,1,0
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-19",1,-1,3,2,1,0
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-20",0,0,0,0,2,0
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-21",2,0,5,5,2,-1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-22",11,9,57,10,7,-2
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-23",11,9,104,7,4,-2
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-24",1,6,-2,0,2,0
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-25",-1,-1,-3,-3,1,1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-26",0,-1,-3,-1,-1,1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-27",6,4,4,2,2,0
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-28",6,4,5,7,0,-1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-02-29",14,11,26,10,6,-3
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-01",17,15,118,12,4,-3
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-02",8,8,20,0,-1,0
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-03",10,10,21,2,2,-1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-04",9,10,28,4,2,-1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-05",7,8,21,2,3,-1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-06",6,5,17,4,2,-1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-07",14,14,75,13,7,-3
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-08",15,14,165,10,3,-2
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-09",-1,3,-5,-5,0,1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-10",7,10,20,-2,0,0
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-11",6,13,15,-2,-1,0
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-12",7,32,19,-5,-1,1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-13",5,43,19,-6,-4,1
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-14",-7,31,-13,-8,0,3
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-15",-8,25,25,-13,-5,3
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-16",-10,30,-19,-27,-19,8
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-17",-23,17,44,-30,-31,12
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-18",-34,8,-34,-39,-35,16
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-19",-34,16,-31,-43,-37,17
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-20",-33,26,-28,-41,-38,17
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-21",-46,3,-22,-39,-25,13
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-22",-63,-34,-39,-54,-38,14
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-23",-50,-21,-29,-55,-50,21
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-24",-47,-17,-11,-53,-50,22
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-25",-43,-13,29,-50,-50,21
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-26",-47,-15,-28,-55,-50,22
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-27",-48,-14,-27,-53,-50,23
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-28",-53,-17,-35,-50,-35,15
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-29",-53,-24,-29,-55,-39,13
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-30",-43,-15,-5,-54,-50,20
"US","UnitedStates","Illinois","","US-IL",NA,"2020-03-31",-44,-15,-30,-54,-52,22
"US","UnitedStates","Illinois","","US-IL",NA,"2020-04-01",-41,-7,4,-50,-52,21
"US","UnitedStates","Illinois","","US-IL",NA,"2020-04-02",-42,-8,15,-52,-52,22
"US","UnitedStates","Illinois","","US-IL",NA,"2020-04-03",-43,-7,13,-49,-51,22
"US","UnitedStates","Illinois","","US-IL",NA,"2020-04-04",-51,-10,-23,-49,-36,15
"US","UnitedStates","Illinois","","US-IL",NA,"2020-04-05",-50,-16,24,-52,-39,12
"US","UnitedStates","Illinois","","US-IL",NA,"2020-04-06",-44,-14,-4,-54,-52,20
"US","UnitedStates","Illinois","","US-IL",NA,"2020-04-07",-41,-10,35,-50,-53,21
"US","UnitedStates","Illinois","","US-IL",NA,"2020-04-08",-44,-13,-5,-53,-53,22
"US","UnitedStates","Illinois","","US-IL",NA,"2020-04-09",-44,-8,-26,-55,-53,23
