"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"AT","Austria","Tyrol","","AT-7",NA,"15/02/2020",9,3,20,17,-1,-2
"AT","Austria","Tyrol","","AT-7",NA,"16/02/2020",13,26,18,8,1,-2
"AT","Austria","Tyrol","","AT-7",NA,"17/02/2020",13,14,40,9,1,0
"AT","Austria","Tyrol","","AT-7",NA,"18/02/2020",17,10,51,9,2,-1
"AT","Austria","Tyrol","","AT-7",NA,"19/02/2020",10,10,24,2,1,1
"AT","Austria","Tyrol","","AT-7",NA,"20/02/2020",9,5,15,5,1,0
"AT","Austria","Tyrol","","AT-7",NA,"21/02/2020",2,8,19,2,0,1
"AT","Austria","Tyrol","","AT-7",NA,"22/02/2020",9,10,34,23,1,-2
"AT","Austria","Tyrol","","AT-7",NA,"23/02/2020",3,31,9,2,2,0
"AT","Austria","Tyrol","","AT-7",NA,"24/02/2020",17,19,52,7,2,0
"AT","Austria","Tyrol","","AT-7",NA,"25/02/2020",21,14,70,10,0,1
"AT","Austria","Tyrol","","AT-7",NA,"26/02/2020",8,14,33,0,0,2
"AT","Austria","Tyrol","","AT-7",NA,"27/02/2020",5,9,15,-3,2,2
"AT","Austria","Tyrol","","AT-7",NA,"28/02/2020",0,7,20,-1,1,1
"AT","Austria","Tyrol","","AT-7",NA,"29/02/2020",1,4,-1,-4,0,1
"AT","Austria","Tyrol","","AT-7",NA,"01/03/2020",-5,9,2,-8,0,0
"AT","Austria","Tyrol","","AT-7",NA,"02/03/2020",-1,5,1,-3,1,0
"AT","Austria","Tyrol","","AT-7",NA,"03/03/2020",-1,4,6,-6,2,1
"AT","Austria","Tyrol","","AT-7",NA,"04/03/2020",4,2,8,-3,1,0
"AT","Austria","Tyrol","","AT-7",NA,"05/03/2020",-3,3,-15,-7,2,1
"AT","Austria","Tyrol","","AT-7",NA,"06/03/2020",-2,2,-3,-6,2,0
"AT","Austria","Tyrol","","AT-7",NA,"07/03/2020",-1,0,-16,-11,-2,1
"AT","Austria","Tyrol","","AT-7",NA,"08/03/2020",9,11,24,-3,-2,-2
"AT","Austria","Tyrol","","AT-7",NA,"09/03/2020",-5,4,-7,-6,-1,1
"AT","Austria","Tyrol","","AT-7",NA,"10/03/2020",-9,4,-13,-9,-1,2
"AT","Austria","Tyrol","","AT-7",NA,"11/03/2020",-4,9,10,-11,-1,1
"AT","Austria","Tyrol","","AT-7",NA,"12/03/2020",-12,15,1,-15,-3,2
"AT","Austria","Tyrol","","AT-7",NA,"13/03/2020",-27,32,-24,-26,-5,5
"AT","Austria","Tyrol","","AT-7",NA,"14/03/2020",-48,-19,-50,-50,-12,9
"AT","Austria","Tyrol","","AT-7",NA,"15/03/2020",-75,-54,-51,-57,-27,8
"AT","Austria","Tyrol","","AT-7",NA,"16/03/2020",-84,-37,-68,-63,-47,21
"AT","Austria","Tyrol","","AT-7",NA,"17/03/2020",-86,-46,-70,-68,-55,24
