country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IL,Israel,Jerusalem District,,IL-JM,NA,15/02/2020,12,2,67,20,1,-3
IL,Israel,Jerusalem District,,IL-JM,NA,16/02/2020,-2,-7,3,1,1,1
IL,Israel,Jerusalem District,,IL-JM,NA,17/02/2020,14,-3,11,4,0,0
IL,Israel,Jerusalem District,,IL-JM,NA,18/02/2020,2,-6,7,1,0,0
IL,Israel,Jerusalem District,,IL-JM,NA,19/02/2020,-2,-9,2,1,0,1
IL,Israel,Jerusalem District,,IL-JM,NA,20/02/2020,0,-4,-1,-4,0,0
IL,Israel,Jerusalem District,,IL-JM,NA,21/02/2020,8,4,40,10,4,-1
IL,Israel,Jerusalem District,,IL-JM,NA,22/02/2020,-4,-12,-11,-1,-1,0
IL,Israel,Jerusalem District,,IL-JM,NA,23/02/2020,0,-5,11,4,1,0
IL,Israel,Jerusalem District,,IL-JM,NA,24/02/2020,3,-6,7,3,0,1
IL,Israel,Jerusalem District,,IL-JM,NA,25/02/2020,-2,-17,-14,-8,-1,2
IL,Israel,Jerusalem District,,IL-JM,NA,26/02/2020,4,-4,17,4,-1,-1
IL,Israel,Jerusalem District,,IL-JM,NA,27/02/2020,2,0,14,3,0,-1
IL,Israel,Jerusalem District,,IL-JM,NA,28/02/2020,10,9,65,18,5,-2
IL,Israel,Jerusalem District,,IL-JM,NA,29/02/2020,6,-6,11,4,2,-1
IL,Israel,Jerusalem District,,IL-JM,NA,01/03/2020,1,-2,7,4,-1,0
IL,Israel,Jerusalem District,,IL-JM,NA,02/03/2020,23,14,55,-3,-63,10
IL,Israel,Jerusalem District,,IL-JM,NA,03/03/2020,4,3,15,4,3,-1
IL,Israel,Jerusalem District,,IL-JM,NA,04/03/2020,5,8,19,9,2,-1
IL,Israel,Jerusalem District,,IL-JM,NA,05/03/2020,-1,6,9,0,1,0
IL,Israel,Jerusalem District,,IL-JM,NA,06/03/2020,-8,-1,-19,-8,2,2
IL,Israel,Jerusalem District,,IL-JM,NA,07/03/2020,2,33,14,2,6,1
IL,Israel,Jerusalem District,,IL-JM,NA,08/03/2020,6,22,17,4,0,2
IL,Israel,Jerusalem District,,IL-JM,NA,09/03/2020,-9,19,1,-11,-18,7
IL,Israel,Jerusalem District,,IL-JM,NA,10/03/2020,-11,13,16,-9,-40,8
IL,Israel,Jerusalem District,,IL-JM,NA,11/03/2020,-12,9,40,2,-48,9
IL,Israel,Jerusalem District,,IL-JM,NA,12/03/2020,-23,-2,-32,-19,-5,7
IL,Israel,Jerusalem District,,IL-JM,NA,13/03/2020,-28,-4,-40,-27,-20,7
IL,Israel,Jerusalem District,,IL-JM,NA,14/03/2020,-40,NA,-48,-29,-11,7
IL,Israel,Jerusalem District,,IL-JM,NA,15/03/2020,-43,NA,-23,-36,-36,18
IL,Israel,Jerusalem District,,IL-JM,NA,16/03/2020,-46,4,-16,-38,-39,19
IL,Israel,Jerusalem District,,IL-JM,NA,17/03/2020,-58,-15,-54,-52,-42,23
IL,Israel,Jerusalem District,,IL-JM,NA,18/03/2020,-64,-14,-66,-60,-51,28
IL,Israel,Jerusalem District,,IL-JM,NA,19/03/2020,-67,-27,-68,-63,-53,31
IL,Israel,Jerusalem District,,IL-JM,NA,20/03/2020,-72,-39,-72,-71,-53,19
IL,Israel,Jerusalem District,,IL-JM,NA,21/03/2020,-84,-52,-71,-69,-36,17
IL,Israel,Jerusalem District,,IL-JM,NA,22/03/2020,-69,-33,-58,-66,-59,31
IL,Israel,Jerusalem District,,IL-JM,NA,23/03/2020,-66,-27,-52,-63,-59,31
IL,Israel,Jerusalem District,,IL-JM,NA,24/03/2020,-65,-24,-57,-63,-59,30
IL,Israel,Jerusalem District,,IL-JM,NA,25/03/2020,-67,-25,-59,-64,-60,31
IL,Israel,Jerusalem District,,IL-JM,NA,26/03/2020,-78,-45,-77,-74,-64,37
IL,Israel,Jerusalem District,,IL-JM,NA,27/03/2020,-77,-47,-74,-73,-58,20
IL,Israel,Jerusalem District,,IL-JM,NA,28/03/2020,-88,-56,-81,-75,-42,17
IL,Israel,Jerusalem District,,IL-JM,NA,29/03/2020,-73,-28,-67,-71,-63,34
IL,Israel,Jerusalem District,,IL-JM,NA,30/03/2020,-78,-36,-72,-71,-65,35
IL,Israel,Jerusalem District,,IL-JM,NA,31/03/2020,-83,NA,-71,-69,-65,34
IL,Israel,Jerusalem District,,IL-JM,NA,01/04/2020,-83,NA,-75,-68,-65,35
IL,Israel,Jerusalem District,,IL-JM,NA,02/04/2020,-82,-34,-74,-69,-64,36
IL,Israel,Jerusalem District,,IL-JM,NA,03/04/2020,-80,-37,-69,-68,-57,20
IL,Israel,Jerusalem District,,IL-JM,NA,04/04/2020,-90,-44,-73,-69,-38,17
IL,Israel,Jerusalem District,,IL-JM,NA,05/04/2020,-80,NA,-67,-65,-65,34
IL,Israel,Jerusalem District,,IL-JM,NA,06/04/2020,-77,NA,-66,-63,-65,33
IL,Israel,Jerusalem District,,IL-JM,NA,07/04/2020,-76,NA,-64,-63,-69,32
IL,Israel,Jerusalem District,,IL-JM,NA,08/04/2020,-92,-59,-85,-84,-87,36
IL,Israel,Jerusalem District,,IL-JM,NA,09/04/2020,-98,-95,-90,-92,-92,28
IL,Israel,Jerusalem District,,IL-JM,NA,10/04/2020,-88,-51,-80,-77,-67,21
IL,Israel,Jerusalem District,,IL-JM,NA,11/04/2020,-93,-59,-80,-75,-42,17
IL,Israel,Jerusalem District,,IL-JM,NA,12/04/2020,-85,-34,-64,-73,-76,38
IL,Israel,Jerusalem District,,IL-JM,NA,13/04/2020,-84,-30,-68,-72,-75,37
IL,Israel,Jerusalem District,,IL-JM,NA,14/04/2020,-89,-52,-76,-81,-83,34
IL,Israel,Jerusalem District,,IL-JM,NA,15/04/2020,-97,-93,-85,-90,-91,25
IL,Israel,Jerusalem District,,IL-JM,NA,16/04/2020,-81,-37,-72,-72,-64,35
IL,Israel,Jerusalem District,,IL-JM,NA,17/04/2020,-79,-40,-66,-69,-53,19
IL,Israel,Jerusalem District,,IL-JM,NA,18/04/2020,-88,-60,-65,-68,-33,15
IL,Israel,Jerusalem District,,IL-JM,NA,19/04/2020,-75,-30,-53,-64,-58,30
IL,Israel,Jerusalem District,,IL-JM,NA,20/04/2020,-75,-31,-59,-65,-57,31
IL,Israel,Jerusalem District,,IL-JM,NA,21/04/2020,-74,-28,-57,-64,-56,29
IL,Israel,Jerusalem District,,IL-JM,NA,22/04/2020,-73,-30,-55,-60,-55,29
IL,Israel,Jerusalem District,,IL-JM,NA,23/04/2020,-74,-32,-59,-63,-54,30
IL,Israel,Jerusalem District,,IL-JM,NA,24/04/2020,-73,-37,-56,-63,-47,17
IL,Israel,Jerusalem District,,IL-JM,NA,25/04/2020,-88,-59,-67,-68,-32,14
IL,Israel,Jerusalem District,,IL-JM,NA,26/04/2020,-67,-23,-45,-58,-52,28
IL,Israel,Jerusalem District,,IL-JM,NA,27/04/2020,-68,-18,-52,-59,-52,28
IL,Israel,Jerusalem District,,IL-JM,NA,28/04/2020,-75,-28,-59,-66,-60,31
IL,Israel,Jerusalem District,,IL-JM,NA,29/04/2020,-95,-90,-79,-85,-88,43
IL,Israel,Jerusalem District,,IL-JM,NA,30/04/2020,-65,-26,-52,-57,-49,27
IL,Israel,Jerusalem District,,IL-JM,NA,01/05/2020,-62,-29,-36,-55,-41,14
IL,Israel,Jerusalem District,,IL-JM,NA,02/05/2020,-78,-51,-37,-54,-27,10
IL,Israel,Jerusalem District,,IL-JM,NA,03/05/2020,-60,-23,-34,-51,-43,24
IL,Israel,Jerusalem District,,IL-JM,NA,04/05/2020,-61,-20,-36,-50,-43,24
