"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-15",3,1,25,7,2,-1
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-16",0,-4,-14,-3,-2,1
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-17",1,2,4,1,2,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-18",2,2,14,3,4,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-19",1,0,3,3,4,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-20",-1,-2,1,1,1,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-21",0,1,14,5,1,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-22",-5,1,17,3,-1,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-23",4,-7,-12,-3,-4,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-24",6,-1,6,-15,-29,5
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-25",9,0,29,-12,-27,4
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-26",-6,-6,-5,-15,-23,4
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-27",-2,-3,-4,-17,-25,6
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-28",2,4,10,-13,-25,6
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-02-29",-3,4,2,-1,-4,1
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-03-01",9,6,15,6,0,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-03-02",0,8,-8,-1,2,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-03-03",2,6,6,1,3,0
"BE","Belgium","Wallonia","","BE-WAL",NA,"2020-03-04",2,5,0,1,3,0
