"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-15",-6,-7,6,-3,-1,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-16",-5,-6,10,-1,4,2
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-17",-10,-11,7,-9,3,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-18",-9,-12,6,-5,4,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-19",-9,-9,1,-7,4,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-20",-8,-7,3,-3,3,2
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-21",-8,-10,-2,-11,-5,4
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-22",-11,-10,1,-5,-2,3
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-23",-7,-7,5,-5,4,2
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-24",-12,-13,13,-10,4,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-25",-9,-10,-4,-3,3,2
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-26",-8,-6,-2,-8,4,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-27",-2,0,7,-9,3,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-28",-2,-4,2,-14,-3,3
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-02-29",-3,-3,0,-14,-1,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-03-01",-2,-2,-3,-13,3,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-03-02",-8,-7,-1,-19,3,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-03-03",-7,-10,-3,-23,3,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-03-04",-7,-7,-6,-18,3,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-03-05",-7,-7,-3,-24,3,1
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-03-06",-10,-14,-5,-28,-5,4
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-03-07",-11,-12,-7,-32,-2,2
"SA","SaudiArabia","AlMadinahProvince","","SA-03",NA,"2020-03-08",-10,-9,-11,-31,1,2
