"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-15",-6,-5,-11,-9,-1,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-16",-7,-7,-5,-7,3,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-17",-9,-9,-2,-9,3,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-18",-8,-8,-7,-7,3,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-19",-7,-7,18,-6,2,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-20",-7,-7,-4,-2,2,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-21",-8,-8,-11,-14,-4,3
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-22",-10,-8,-15,-8,-1,3
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-23",-8,-8,-3,-7,3,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-24",-9,-11,2,-8,3,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-25",-3,-4,11,-1,2,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-26",-5,-4,-6,-3,2,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-27",0,0,-10,-3,2,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-28",0,1,-12,-12,-3,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-02-29",0,1,-14,-10,1,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-01",0,0,-5,-9,4,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-02",-3,-3,-4,-12,4,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-03",-2,-2,-12,-10,3,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-04",-2,-2,-8,-10,2,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-05",-3,-2,-12,-13,3,1
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-06",-5,-3,-18,-22,-4,3
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-07",-6,-3,-19,-23,0,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-08",-6,-3,-7,-23,3,2
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-09",-10,-5,-9,-26,-10,5
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-10",-7,-2,-11,-22,-10,5
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-11",-9,-4,-7,-24,-10,5
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-12",-17,-7,-32,-29,-11,7
"SA","SaudiArabia","MakkahProvince","","SA-02",NA,"2020-03-13",-20,-6,-24,-34,-8,6
