"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-15",2,-4,0,3,-2,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-16",6,-4,3,-1,0,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-17",11,-2,32,-26,-42,9
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-18",-4,-10,-18,-4,-10,3
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-19",3,-3,3,-2,-10,2
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-20",3,-2,-1,-2,-8,2
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-21",0,-6,-9,-3,-9,3
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-22",5,-2,49,5,1,-1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-23",9,1,66,6,3,-1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-24",4,0,51,1,4,-1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-25",2,-3,12,2,3,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-26",5,0,3,5,2,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-27",4,0,-1,5,3,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-28",5,1,-2,7,3,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-02-29",9,0,26,11,2,-1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-01",10,4,-1,11,3,-1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-02",7,5,21,2,3,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-03",11,6,49,4,1,-1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-04",4,3,5,0,2,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-05",7,7,30,1,4,-1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-06",2,2,1,-1,3,1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-07",7,3,24,0,1,-1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-08",9,5,47,0,2,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-09",10,7,102,-3,1,0
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-10",5,7,33,-7,0,1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-11",5,13,25,-10,-3,1
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-12",5,32,14,-17,-5,3
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-13",-5,30,-16,-26,-14,8
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-14",-11,16,61,-19,-4,4
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-15",-15,5,43,-26,-8,5
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-16",-12,16,8,-41,-30,12
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-17",-32,0,-19,-50,-39,17
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-18",-31,1,53,-50,-42,17
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-19",-39,-3,-36,-59,-44,21
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-20",-34,11,20,-56,-44,20
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-21",-42,-5,71,-50,-30,12
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-22",-46,-19,22,-59,-33,12
"US","UnitedStates","Massachusetts","","US-MA",NA,"2020-03-23",-40,-12,-33,-66,-50,21
