"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-15",2,0,15,5,4,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-16",9,4,45,4,3,-1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-17",1,-2,1,-2,-13,4
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-18",-2,-4,-4,2,-6,2
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-19",2,0,4,4,0,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-20",2,-1,2,5,0,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-21",-1,-5,4,9,0,1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-22",9,4,56,17,8,-2
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-23",12,6,90,18,6,-2
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-24",1,0,14,6,2,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-25",4,3,2,5,2,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-26",-8,-9,-12,1,-11,5
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-27",1,-3,-7,7,-8,3
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-28",2,-2,-2,15,0,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-02-29",13,6,23,28,6,-2
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-01",17,10,57,23,5,-2
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-02",9,4,28,5,2,-1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-03",12,7,14,8,1,-1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-04",11,5,22,9,1,-1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-05",10,4,20,9,1,-1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-06",2,-5,0,7,0,1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-07",14,8,61,14,8,-2
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-08",17,11,155,14,5,-2
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-09",6,4,31,3,2,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-10",11,5,48,5,-1,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-11",7,14,14,4,1,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-12",7,28,28,2,-1,1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-13",-5,29,8,-3,-7,4
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-14",-13,13,16,-5,2,4
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-15",-11,10,87,-8,-4,3
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-16",-17,24,13,-17,-21,9
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-17",-29,10,45,-19,-28,11
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-18",-33,4,10,-24,-31,13
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-19",-34,9,9,-30,-34,15
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-20",-41,2,-2,-32,-37,18
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-21",-46,-5,33,-32,-26,11
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-22",-47,-15,48,-41,-31,9
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-23",-34,12,-1,-40,-43,17
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-24",-59,-29,3,-50,-57,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-25",-53,-22,66,-46,-58,23
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-26",-56,-25,12,-51,-59,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-27",-58,-26,22,-52,-58,27
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-28",-63,-29,-22,-56,-44,17
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-29",-58,-28,15,-55,-43,12
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-30",-54,-24,-10,-55,-60,24
"US","UnitedStates","Michigan","","US-MI",NA,"2020-03-31",-53,-22,-3,-52,-61,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-01",-50,-17,21,-49,-61,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-02",-49,-16,99,-48,-61,24
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-03",-52,-18,68,-49,-61,26
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-04",-60,-26,2,-54,-45,17
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-05",-55,-24,92,-53,-44,11
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-06",-51,-22,48,-53,-61,24
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-07",-54,-23,23,-54,-63,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-08",-49,-17,76,-48,-62,24
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-09",-53,-18,-11,-56,-63,26
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-10",-57,-21,-15,-58,-65,30
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-11",-58,-15,59,-51,-45,16
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-12",-74,-50,17,-60,-51,13
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-13",-57,-28,-22,-59,-61,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-14",-53,-24,-9,-55,-61,26
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-15",-48,-18,-18,-52,-60,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-16",-48,-17,0,-53,-60,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-17",-57,-29,-26,-58,-60,29
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-18",-53,-21,59,-49,-40,15
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-19",-50,-24,80,-54,-41,11
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-20",-44,-20,52,-50,-58,22
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-21",-49,-20,-11,-53,-60,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-22",-48,-19,-9,-53,-59,25
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-23",-49,-20,-10,-55,-59,26
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-24",-50,-23,39,-51,-58,26
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-25",-50,-22,58,-47,-40,14
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-26",-42,-19,134,-48,-39,9
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-27",-37,-18,64,-46,-56,21
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-28",-35,-13,103,-41,-57,15
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-29",-40,-16,-4,-48,-58,23
"US","UnitedStates","Michigan","","US-MI",NA,"2020-04-30",-39,-13,6,-48,-57,23
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-01",-37,-12,105,-38,-55,22
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-02",-38,-10,160,-31,-35,10
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-03",-30,-9,204,-35,-33,6
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-04",-30,-10,72,-42,-53,19
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-05",-31,-6,41,-40,-54,20
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-06",-29,-5,105,-36,-53,19
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-07",-31,-5,90,-37,-53,20
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-08",-40,-13,17,-42,-52,23
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-09",-37,3,55,-34,-32,11
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-10",-33,-4,33,-39,-31,7
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-11",-36,-15,30,-42,-50,19
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-12",-29,-8,96,-33,-50,18
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-13",-24,-4,125,-31,-50,17
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-14",-36,-12,9,-43,-51,21
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-15",-36,-12,82,-37,-49,20
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-16",-34,-6,180,-24,-28,8
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-17",-37,-13,17,-43,-30,9
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-18",-34,-15,8,-46,-46,19
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-19",-27,-5,63,-36,-46,17
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-20",-19,1,147,-26,-46,15
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-21",-20,2,156,-26,-46,15
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-22",-31,-5,111,-30,-47,17
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-23",-31,1,223,-19,-25,6
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-24",-20,7,288,-23,-26,2
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-25",-31,-6,228,-42,-76,20
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-26",-21,-3,126,-27,-44,14
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-27",-21,-2,118,-28,-43,15
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-28",-22,-2,78,-30,-43,16
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-29",-30,-9,98,-29,-41,17
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-30",-27,-1,184,-17,-14,6
"US","UnitedStates","Michigan","","US-MI",NA,"2020-05-31",-19,-1,223,-23,-14,3
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-01",-16,-3,116,-27,-39,12
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-02",-17,1,168,-23,-39,13
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-03",-13,6,147,-22,-39,12
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-04",-15,4,180,-24,-39,12
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-05",-24,-2,160,-24,-39,13
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-06",-23,5,285,-14,-13,3
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-07",-13,4,299,-17,-14,1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-08",-8,-1,189,-24,-36,10
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-09",-11,0,169,-25,-38,11
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-10",-14,-4,74,-28,-39,13
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-11",-5,5,181,-20,-37,10
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-12",-16,-3,173,-18,-37,11
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-13",-14,4,268,-5,-7,2
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-14",-5,4,314,-9,-9,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-15",-2,3,193,-20,-35,9
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-16",-2,4,208,-18,-36,9
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-17",1,8,223,-16,-36,9
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-18",-1,8,229,-16,-36,8
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-19",-11,2,228,-14,-37,7
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-20",-11,12,316,-3,-7,0
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-21",-4,11,260,-10,-8,-1
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-22",-4,0,169,-22,-38,9
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-23",-2,2,131,-20,-38,10
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-24",3,6,211,-13,-35,8
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-25",2,7,243,-12,-35,8
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-26",-12,-2,192,-12,-36,10
"US","UnitedStates","Michigan","","US-MI",NA,"2020-06-27",-10,6,305,2,-8,1
