"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-15",18,20,12,55,2,-1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-16",15,12,-1,36,-2,1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-17",10,10,34,8,-1,2
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-18",11,7,28,9,2,0
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-19",25,21,47,64,1,-3
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-20",8,3,-23,-4,-4,3
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-21",25,28,34,82,-7,0
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-22",42,53,25,222,-5,-3
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-23",61,69,72,181,3,-5
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-24",75,61,132,75,-26,4
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-25",87,68,127,185,-63,6
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-26",33,28,45,15,-21,4
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-27",14,13,21,11,-11,3
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-28",8,9,25,5,-10,2
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-02-29",5,9,13,2,-1,-1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-01",11,14,24,12,4,-2
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-02",5,8,15,4,3,-1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-03",18,12,18,5,2,-1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-04",8,9,5,0,0,0
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-05",10,10,19,8,1,-1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-06",9,8,34,9,2,-1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-07",8,8,21,3,1,-1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-08",13,20,59,12,2,-1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-09",12,13,49,8,2,0
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-10",14,9,28,0,0,1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-11",18,20,58,8,0,-1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-12",10,25,36,6,-2,1
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-13",-2,25,22,-3,-4,2
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-14",-13,10,-13,-16,-6,4
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-15",-22,13,-6,-15,-9,4
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-16",-22,13,-8,-23,-23,9
"US","UnitedStates","Louisiana","OrleansParish","",22071,"2020-03-17",-36,1,-17,-32,-35,15
