"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-15",-9,-7,-35,-7,-3,2
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-16",-1,-5,-21,1,2,1
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-17",7,-6,-1,-3,-13,2
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-18",8,-3,7,-4,-13,2
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-19",3,-7,-21,-6,-13,3
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-20",6,-2,3,-5,-12,2
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-21",-1,-2,-16,-4,-12,2
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-22",-5,-3,-23,-6,0,1
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-23",1,-1,6,9,1,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-24",1,0,-17,-3,-2,1
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-25",0,5,0,-1,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-26",-1,0,-4,-3,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-27",3,2,10,4,0,-1
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-28",-1,2,-13,0,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-02-29",-1,-2,-16,-4,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-01",3,2,-7,0,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-02",3,1,-1,0,1,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-03",6,2,11,0,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-04",6,3,18,0,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-05",3,3,11,-5,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-06",-2,3,1,-5,1,-1
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-07",-3,-1,-5,-6,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-08",2,1,-2,-6,0,0
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-09",-4,0,-19,-9,-1,1
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-10",1,7,11,-8,-1,1
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-11",-2,5,-9,-12,-2,1
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-12",-3,23,-18,-15,-3,2
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-13",-8,18,-6,-18,-6,2
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-14",-19,7,-29,-29,-5,4
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-15",-18,5,-2,-24,-6,3
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-16",-7,18,-11,-29,-26,7
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-17",-30,-6,-30,-56,-59,17
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-18",-28,7,-9,-42,-31,12
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-19",-30,8,-5,-46,-33,13
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-20",-38,3,11,-49,-36,14
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-21",-52,1,-29,-55,-32,12
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-22",-61,-21,-5,-54,-36,10
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-23",-49,-13,-27,-60,-49,18
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-24",-70,-21,-31,-68,-62,24
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-25",-74,-27,-40,-72,-69,27
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-26",-75,-30,-14,-74,-71,28
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-27",-77,-28,-44,-77,-71,29
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-28",-81,-29,-44,-74,-62,20
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-29",-85,-42,-47,-76,-59,17
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-30",-75,-35,-43,-78,-73,27
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-03-31",-76,-34,-39,-78,-75,28
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-01",-76,-35,-45,-79,-74,28
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-02",-77,-34,-43,-79,-74,29
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-03",-77,-32,-49,-79,-73,30
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-04",-81,-32,-61,-75,-62,20
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-05",-83,-41,-60,-76,-58,17
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-06",-73,-33,-41,-77,-73,26
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-07",-74,-29,-24,-76,-74,27
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-08",-74,-31,-38,-75,-74,27
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-09",-72,-23,-38,-76,-74,28
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-10",-76,-26,-41,-78,-75,29
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-11",-79,-22,-49,-73,-60,19
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-12",-93,-62,-60,-76,-62,18
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-13",-78,-45,-33,-83,-85,30
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-14",-75,-36,-29,-80,-81,29
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-15",-72,-26,-33,-75,-74,28
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-16",-73,-28,-17,-76,-73,28
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-17",-74,-28,-25,-77,-73,29
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-18",-80,-30,-51,-75,-58,20
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-19",-82,-39,-40,-73,-53,16
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-20",-73,-32,-19,-74,-71,25
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-21",-74,-30,-20,-75,-71,26
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-22",-74,-29,-26,-74,-71,27
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-23",-73,-27,-26,-75,-71,27
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-24",-74,-27,-24,-74,-70,28
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-25",-78,-26,-33,-69,-54,18
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-26",-80,-36,-38,-71,-50,16
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-27",-71,-32,-29,-74,-70,25
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-28",-71,-28,-31,-73,-70,24
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-29",-74,-32,-56,-75,-70,27
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-04-30",-73,-27,-40,-73,-70,27
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-01",-75,-29,-45,-73,-69,28
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-02",-77,-25,-33,-66,-52,18
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-03",-77,-33,-26,-65,-47,15
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-04",-69,-28,-9,-69,-68,24
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-05",-69,-26,-10,-70,-68,25
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-06",-69,-23,-6,-69,-68,24
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-07",-68,-21,-19,-67,-68,25
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-08",-74,-32,-20,-73,-78,29
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-09",-77,-26,-29,-66,-51,17
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-10",-76,-31,-37,-66,-46,15
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-11",-66,-24,-6,-65,-66,23
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-12",-68,-24,-26,-67,-66,24
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-13",-67,-23,-7,-66,-65,24
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-14",-68,-23,-13,-67,-66,24
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-15",-69,-23,-27,-66,-64,25
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-16",-74,-23,-39,-62,-47,16
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-17",-74,-30,-36,-65,-42,15
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-18",-64,-24,-18,-64,-63,23
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-19",-63,-22,9,-62,-63,23
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-20",-63,-20,19,-60,-63,22
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-21",-63,-19,10,-61,-63,23
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-22",-66,-21,-37,-64,-63,25
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-23",-70,-20,-37,-58,-44,15
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-24",-68,-25,6,-55,-37,12
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-25",-59,-26,47,-59,-71,22
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-26",-59,-18,39,-57,-61,21
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-27",-59,-17,33,-57,-60,21
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-28",-59,-13,42,-56,-60,21
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-29",-62,-14,22,-56,-60,21
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-30",-67,-15,11,-49,-32,10
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-05-31",-65,-20,26,-51,-25,9
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-01",-54,-15,57,-50,-59,18
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-02",-57,-18,25,-55,-59,20
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-03",-57,-18,15,-55,-59,21
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-04",-58,-17,-4,-56,-59,22
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-05",-62,-19,-15,-59,-58,23
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-06",-67,-19,-28,-54,-36,14
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-07",-62,-21,31,-48,-25,10
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-08",-51,-19,30,-53,-57,19
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-09",-53,-18,4,-54,-58,20
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-10",-54,-18,2,-56,-57,21
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-11",-53,-14,31,-54,-56,20
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-12",-57,-17,-22,-55,-57,21
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-13",-58,-13,8,-44,-24,11
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-14",-57,-19,45,-42,-17,7
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-15",-42,-13,49,-46,-55,17
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-16",-45,-14,26,-48,-56,19
"GB","UnitedKingdom","Belfast","","GB-BFS",NA,"2020-06-17",-46,-14,24,-49,-55,19
