"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-15",3,-1,14,2,-1,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-16",6,-1,29,0,0,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-17",7,-3,48,-11,-38,7
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-18",-1,-2,9,5,1,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-19",1,-2,10,3,1,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-20",1,0,9,0,0,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-21",1,0,4,0,2,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-22",-2,-5,-30,-9,-1,2
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-23",3,-2,6,1,2,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-24",1,-3,7,1,6,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-25",2,-1,18,3,5,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-26",4,1,15,4,3,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-27",3,1,10,2,3,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-28",3,3,7,2,5,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-02-29",4,2,15,-1,2,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-03-01",2,-1,-20,-4,2,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-03-02",3,1,-3,-3,6,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-03-03",6,5,19,2,4,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-03-04",3,2,14,0,3,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-03-05",3,3,9,-2,3,-1
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-03-06",2,4,8,-4,4,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-03-07",1,2,9,-9,2,0
"US","UnitedStates","California","SanDiegoCounty","",6073,"2020-03-08",2,1,9,-8,1,0
