"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-15",6,2,23,-1,1,-1
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-16",8,-2,30,8,1,-1
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-17",6,2,48,-36,-59,11
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-18",-3,2,16,-3,1,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-19",-2,-2,6,-1,0,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-20",3,-1,16,1,0,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-21",0,1,14,0,3,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-22",0,0,4,-5,3,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-23",2,1,16,1,4,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-24",3,2,15,1,2,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-25",10,4,31,4,3,-1
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-26",4,3,13,1,0,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-27",5,3,20,4,1,-1
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-28",-1,5,6,-2,2,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-02-29",-5,3,-7,-13,2,1
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-01",-4,4,1,-5,4,0
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-02",-2,10,13,-6,0,1
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-03",1,12,12,-3,-1,1
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-04",-4,5,0,-4,-2,2
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-05",-4,6,-8,-9,-4,2
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-06",-9,6,-15,-17,-8,5
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-07",-12,1,-19,-24,0,4
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-08",-13,-4,-8,-18,-2,3
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-09",-8,7,2,-22,-18,8
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-10",-6,10,9,-24,-21,9
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-11",-13,8,3,-30,-26,11
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-12",-17,16,-4,-35,-32,14
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-13",-26,17,-16,-40,-35,15
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-14",-41,1,-54,-48,-13,11
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-15",-42,-1,-35,-41,-15,10
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-16",-32,32,-20,-52,-54,20
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-17",-64,-11,-27,-70,-72,32
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-18",-67,-18,-35,-72,-73,33
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-19",-66,-16,-25,-71,-73,33
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-20",-69,-16,-36,-70,-72,34
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-21",-73,-22,-38,-65,-49,20
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-22",-72,-30,-34,-62,-48,19
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-23",-68,-28,-50,-74,-76,34
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-24",-70,-28,-54,-75,-76,36
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-25",-70,-25,-40,-74,-76,34
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-26",-70,-26,-39,-74,-77,36
"US","UnitedStates","California","SanFranciscoCounty","",6075,"2020-03-27",-72,-27,-48,-73,-74,36
