"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-15",-3,-3,18,0,-1,-1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-16",-1,-4,22,-7,-1,-2
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-17",14,4,66,-21,-58,12
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-18",-1,-3,19,4,-8,1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-19",-2,-3,12,0,-7,1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-20",0,-2,18,-1,-8,1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-21",-3,-5,2,-7,-7,2
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-22",-3,-1,26,-7,3,-1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-23",1,1,27,-4,4,-1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-24",0,1,13,-1,4,0
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-25",2,2,24,0,4,0
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-26",2,3,15,2,3,-1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-27",4,5,24,2,2,-1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-28",2,6,10,-4,4,0
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-02-29",1,9,22,-4,4,0
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-01",1,6,17,-8,4,0
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-02",2,9,16,-6,3,0
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-03",6,7,54,-5,2,0
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-04",-1,5,35,-7,2,1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-05",0,5,38,-9,0,1
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-06",-4,5,18,-17,-5,4
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-07",-10,0,-17,-18,0,4
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-08",-8,-2,20,-19,0,2
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-09",-3,3,29,-24,-12,6
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-10",-3,6,30,-28,-16,7
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-11",-4,10,37,-32,-22,9
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-12",-4,16,42,-37,-27,11
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-13",-9,28,14,-41,-30,13
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-14",-27,11,-34,-36,-10,9
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-15",-31,1,-36,-42,-15,9
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-16",-8,49,-9,-51,-49,19
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-17",-47,-5,-14,-63,-69,30
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-18",-49,-12,-20,-66,-70,31
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-19",-48,-10,19,-67,-70,31
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-20",-52,-12,4,-69,-69,33
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-21",-61,-25,-15,-62,-45,19
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-22",-62,-33,-18,-67,-46,17
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-23",-52,-23,-14,-73,-72,32
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-24",-53,-23,-22,-74,-73,34
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-25",-54,-23,-22,-73,-73,34
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-26",-53,-21,2,-74,-73,34
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-27",-56,-22,-14,-74,-71,35
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-28",-63,-31,-51,-70,-48,21
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-29",-62,-33,-22,-71,-48,17
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-30",-51,-25,4,-74,-73,32
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-03-31",-51,-23,8,-73,-74,33
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-04-01",-53,-22,-8,-74,-73,33
"US","UnitedStates","California","SantaClaraCounty","",6085,"2020-04-02",-54,-21,-3,-76,-74,34
