"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-15",-19,-8,-31,-18,-4,3
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-16",3,-3,-1,-5,0,1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-17",0,0,2,0,1,1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-18",1,2,9,1,2,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-19",-3,0,3,0,2,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-20",14,1,7,4,1,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-21",-7,-6,-14,0,-1,2
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-22",-14,-3,-24,-14,0,2
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-23",13,0,3,8,2,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-24",-2,0,-3,-4,0,1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-25",1,4,6,-2,2,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-26",-5,0,4,-2,2,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-27",19,3,11,3,1,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-28",1,0,-7,2,0,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-02-29",-5,-1,-7,-3,1,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-01",0,-1,-9,0,1,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-02",3,5,14,-1,0,1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-03",7,4,12,-3,1,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-04",9,8,26,-1,1,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-05",8,6,9,-2,1,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-06",6,5,5,2,1,0
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-07",-1,0,-12,-1,2,1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-08",4,3,9,8,3,-1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-09",2,3,2,-3,-1,1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-10",2,5,0,-7,0,1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-11",-1,5,-4,-8,0,1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-12",11,12,-6,-7,-2,1
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-13",-3,13,2,-10,-4,2
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-14",-20,9,-29,-23,-2,3
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-15",-13,9,-1,-16,-4,2
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-16",-13,13,-11,-23,-13,5
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-17",-23,13,-25,-37,-20,9
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-18",-32,18,-23,-48,-28,11
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-19",-29,21,-2,-50,-32,12
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-20",-40,4,-5,-54,-34,14
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-21",-63,-5,-39,-67,-31,12
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-22",-61,-18,0,-62,-32,9
"GB","UnitedKingdom","GlasgowCity","","GB-GLG",NA,"2020-03-23",-53,-17,-37,-65,-51,18
