country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IL,Israel,South District,,IL-D,NA,15/02/2020,18,12,68,28,2,-3
IL,Israel,South District,,IL-D,NA,16/02/2020,0,0,7,0,1,1
IL,Israel,South District,,IL-D,NA,17/02/2020,4,2,11,3,1,0
IL,Israel,South District,,IL-D,NA,18/02/2020,3,2,17,3,0,-1
IL,Israel,South District,,IL-D,NA,19/02/2020,-7,-4,-14,-5,0,2
IL,Israel,South District,,IL-D,NA,20/02/2020,4,3,13,2,0,0
IL,Israel,South District,,IL-D,NA,21/02/2020,6,2,49,9,0,-1
IL,Israel,South District,,IL-D,NA,22/02/2020,4,4,4,5,0,0
IL,Israel,South District,,IL-D,NA,23/02/2020,-2,-2,9,0,1,1
IL,Israel,South District,,IL-D,NA,24/02/2020,-9,-4,-4,-7,-7,4
IL,Israel,South District,,IL-D,NA,25/02/2020,0,0,-10,-5,-7,3
IL,Israel,South District,,IL-D,NA,26/02/2020,2,3,20,2,1,-1
IL,Israel,South District,,IL-D,NA,27/02/2020,5,2,20,4,0,0
IL,Israel,South District,,IL-D,NA,28/02/2020,9,5,62,10,2,-2
IL,Israel,South District,,IL-D,NA,29/02/2020,9,9,29,10,3,-1
IL,Israel,South District,,IL-D,NA,01/03/2020,8,7,4,1,0,-1
IL,Israel,South District,,IL-D,NA,02/03/2020,31,15,75,3,-64,12
IL,Israel,South District,,IL-D,NA,03/03/2020,2,3,6,2,2,-1
IL,Israel,South District,,IL-D,NA,04/03/2020,4,8,17,3,2,-1
IL,Israel,South District,,IL-D,NA,05/03/2020,5,11,20,1,1,0
IL,Israel,South District,,IL-D,NA,06/03/2020,-3,6,-3,-5,-1,2
IL,Israel,South District,,IL-D,NA,07/03/2020,10,40,25,7,8,0
IL,Israel,South District,,IL-D,NA,08/03/2020,13,18,21,3,-1,1
IL,Israel,South District,,IL-D,NA,09/03/2020,4,19,19,-2,-16,5
IL,Israel,South District,,IL-D,NA,10/03/2020,1,11,31,0,-40,8
IL,Israel,South District,,IL-D,NA,11/03/2020,-2,7,10,-8,-18,5
IL,Israel,South District,,IL-D,NA,12/03/2020,-21,10,-22,-14,-3,6
IL,Israel,South District,,IL-D,NA,13/03/2020,-30,-1,-45,-29,-30,9
IL,Israel,South District,,IL-D,NA,14/03/2020,-30,NA,-34,-18,-4,5
IL,Israel,South District,,IL-D,NA,15/03/2020,-31,NA,-5,-24,-31,14
IL,Israel,South District,,IL-D,NA,16/03/2020,-37,NA,1,-24,-33,15
IL,Israel,South District,,IL-D,NA,17/03/2020,-49,-1,-40,-38,-36,18
IL,Israel,South District,,IL-D,NA,18/03/2020,-55,NA,-54,-45,-43,23
IL,Israel,South District,,IL-D,NA,19/03/2020,-57,-10,-50,-47,-45,25
IL,Israel,South District,,IL-D,NA,20/03/2020,-64,-24,-63,-53,-52,16
IL,Israel,South District,,IL-D,NA,21/03/2020,-80,NA,-69,-54,-36,14
