"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"TW","Taiwan","","","",NA,"15/02/2020",-9,-4,-2,-10,56,-1
"TW","Taiwan","","","",NA,"16/02/2020",-14,-8,-21,-22,-8,5
"TW","Taiwan","","","",NA,"17/02/2020",-7,-3,-14,-17,-3,6
"TW","Taiwan","","","",NA,"18/02/2020",-7,-2,-3,-15,2,5
"TW","Taiwan","","","",NA,"19/02/2020",-7,-4,8,-12,3,4
"TW","Taiwan","","","",NA,"20/02/2020",-5,-5,-4,-15,2,1
"TW","Taiwan","","","",NA,"21/02/2020",-3,0,6,-12,0,5
"TW","Taiwan","","","",NA,"22/02/2020",-8,1,3,-17,5,3
"TW","Taiwan","","","",NA,"23/02/2020",-4,4,24,-15,-2,2
"TW","Taiwan","","","",NA,"24/02/2020",-3,1,6,-14,1,4
"TW","Taiwan","","","",NA,"25/02/2020",-8,0,4,-12,11,2
"TW","Taiwan","","","",NA,"26/02/2020",-10,-3,3,-11,11,2
"TW","Taiwan","","","",NA,"27/02/2020",-3,-1,-9,-4,9,-3
"TW","Taiwan","","","",NA,"28/02/2020",8,11,65,-14,-50,12
"TW","Taiwan","","","",NA,"29/02/2020",-7,1,31,-16,-4,3
"TW","Taiwan","","","",NA,"01/03/2020",-7,2,21,-11,0,1
"TW","Taiwan","","","",NA,"02/03/2020",-9,-1,-10,-14,10,2
"TW","Taiwan","","","",NA,"03/03/2020",-10,-1,-2,-15,14,2
"TW","Taiwan","","","",NA,"04/03/2020",-15,-7,-14,-16,14,2
"TW","Taiwan","","","",NA,"05/03/2020",-14,-3,-30,-18,11,0
"TW","Taiwan","","","",NA,"06/03/2020",-5,4,-1,-9,10,1
"TW","Taiwan","","","",NA,"07/03/2020",-5,7,9,-18,11,2
"TW","Taiwan","","","",NA,"08/03/2020",-4,7,26,-16,3,2
"TW","Taiwan","","","",NA,"09/03/2020",-9,1,-3,-14,10,2
"TW","Taiwan","","","",NA,"10/03/2020",-18,-4,-29,-18,11,4
"TW","Taiwan","","","",NA,"11/03/2020",-9,1,-4,-12,14,1
"TW","Taiwan","","","",NA,"12/03/2020",-10,-4,-15,-15,12,-2
"TW","Taiwan","","","",NA,"13/03/2020",-13,-4,-21,-12,9,3
"TW","Taiwan","","","",NA,"14/03/2020",-14,-1,-28,-25,6,6
"TW","Taiwan","","","",NA,"15/03/2020",-2,7,31,-13,1,2
"TW","Taiwan","","","",NA,"16/03/2020",-7,3,0,-13,10,2
"TW","Taiwan","","","",NA,"17/03/2020",-10,2,-3,-15,14,2
"TW","Taiwan","","","",NA,"18/03/2020",-15,2,-11,-15,13,2
"TW","Taiwan","","","",NA,"19/03/2020",-18,6,-29,-21,11,0
"TW","Taiwan","","","",NA,"20/03/2020",-8,12,-5,-12,9,2
"TW","Taiwan","","","",NA,"21/03/2020",-10,8,4,-23,9,3
"TW","Taiwan","","","",NA,"22/03/2020",-8,6,24,-22,0,3
"TW","Taiwan","","","",NA,"23/03/2020",-12,4,-9,-19,8,3
"TW","Taiwan","","","",NA,"24/03/2020",-13,3,-5,-19,12,3
"TW","Taiwan","","","",NA,"25/03/2020",-14,2,0,-17,12,2
"TW","Taiwan","","","",NA,"26/03/2020",-13,0,-10,-20,10,-1
"TW","Taiwan","","","",NA,"27/03/2020",-13,0,-11,-17,7,3
"TW","Taiwan","","","",NA,"28/03/2020",-21,-6,-33,-34,3,7
"TW","Taiwan","","","",NA,"29/03/2020",-9,3,17,-24,-1,4
"TW","Taiwan","","","",NA,"30/03/2020",-14,-2,-13,-20,6,4
"TW","Taiwan","","","",NA,"31/03/2020",-11,1,-6,-17,9,3
"TW","Taiwan","","","",NA,"01/04/2020",-10,2,-10,-6,7,1
"TW","Taiwan","","","",NA,"02/04/2020",-1,8,10,-26,-50,11
"TW","Taiwan","","","",NA,"03/04/2020",-1,10,40,-31,-55,16
"TW","Taiwan","","","",NA,"04/04/2020",-24,-6,-7,-33,-23,7
"TW","Taiwan","","","",NA,"05/04/2020",-22,-7,-12,-28,-9,6
"TW","Taiwan","","","",NA,"06/04/2020",-20,-3,-28,-21,3,5
"TW","Taiwan","","","",NA,"07/04/2020",-15,5,-18,-22,7,4
"TW","Taiwan","","","",NA,"08/04/2020",-16,-1,-8,-21,8,3
"TW","Taiwan","","","",NA,"09/04/2020",-13,2,-12,-23,7,0
"TW","Taiwan","","","",NA,"10/04/2020",-8,7,-1,-17,4,3
"TW","Taiwan","","","",NA,"11/04/2020",-18,0,-20,-32,4,6
"TW","Taiwan","","","",NA,"12/04/2020",-14,1,-10,-33,-5,7
"TW","Taiwan","","","",NA,"13/04/2020",-11,3,-6,-21,5,4
"TW","Taiwan","","","",NA,"14/04/2020",-11,3,-1,-20,8,3
"TW","Taiwan","","","",NA,"15/04/2020",-13,1,1,-18,8,3
