country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IL,Israel,Tel Aviv District,,IL-TA,NA,15/02/2020,10,12,69,13,-1,-3
IL,Israel,Tel Aviv District,,IL-TA,NA,16/02/2020,6,2,17,1,1,0
IL,Israel,Tel Aviv District,,IL-TA,NA,17/02/2020,0,0,8,-1,1,0
IL,Israel,Tel Aviv District,,IL-TA,NA,18/02/2020,4,0,16,2,1,0
IL,Israel,Tel Aviv District,,IL-TA,NA,19/02/2020,-8,-12,-30,-4,0,1
IL,Israel,Tel Aviv District,,IL-TA,NA,20/02/2020,2,3,8,0,0,0
IL,Israel,Tel Aviv District,,IL-TA,NA,21/02/2020,8,6,48,6,3,-1
IL,Israel,Tel Aviv District,,IL-TA,NA,22/02/2020,-3,-2,-13,-4,-1,0
IL,Israel,Tel Aviv District,,IL-TA,NA,23/02/2020,1,2,13,0,0,0
IL,Israel,Tel Aviv District,,IL-TA,NA,24/02/2020,4,0,4,-3,0,1
IL,Israel,Tel Aviv District,,IL-TA,NA,25/02/2020,4,0,2,-1,1,0
IL,Israel,Tel Aviv District,,IL-TA,NA,26/02/2020,4,2,21,0,1,0
IL,Israel,Tel Aviv District,,IL-TA,NA,27/02/2020,4,6,22,3,0,0
IL,Israel,Tel Aviv District,,IL-TA,NA,28/02/2020,7,2,90,19,-2,-1
IL,Israel,Tel Aviv District,,IL-TA,NA,29/02/2020,-1,-1,7,-3,0,0
IL,Israel,Tel Aviv District,,IL-TA,NA,01/03/2020,8,11,18,3,0,-1
IL,Israel,Tel Aviv District,,IL-TA,NA,02/03/2020,28,27,135,-19,-70,12
IL,Israel,Tel Aviv District,,IL-TA,NA,03/03/2020,-1,3,12,2,2,0
IL,Israel,Tel Aviv District,,IL-TA,NA,04/03/2020,2,10,26,2,2,0
IL,Israel,Tel Aviv District,,IL-TA,NA,05/03/2020,-5,14,20,-3,0,1
IL,Israel,Tel Aviv District,,IL-TA,NA,06/03/2020,-6,4,-12,-6,1,3
IL,Israel,Tel Aviv District,,IL-TA,NA,07/03/2020,-2,25,39,2,4,1
IL,Israel,Tel Aviv District,,IL-TA,NA,08/03/2020,5,16,44,-2,-1,2
IL,Israel,Tel Aviv District,,IL-TA,NA,09/03/2020,2,13,48,-9,-13,5
IL,Israel,Tel Aviv District,,IL-TA,NA,10/03/2020,4,11,NA,-19,-35,8
IL,Israel,Tel Aviv District,,IL-TA,NA,11/03/2020,-8,7,51,-16,-18,6
IL,Israel,Tel Aviv District,,IL-TA,NA,12/03/2020,-27,9,-19,-16,-5,7
IL,Israel,Tel Aviv District,,IL-TA,NA,13/03/2020,-36,0,-44,-31,-26,10
IL,Israel,Tel Aviv District,,IL-TA,NA,14/03/2020,-43,51,-27,-25,-10,8
IL,Israel,Tel Aviv District,,IL-TA,NA,15/03/2020,-41,24,NA,-44,-38,18
IL,Israel,Tel Aviv District,,IL-TA,NA,16/03/2020,-49,8,NA,-49,-43,21
IL,Israel,Tel Aviv District,,IL-TA,NA,17/03/2020,-62,-14,-41,-58,-49,26
IL,Israel,Tel Aviv District,,IL-TA,NA,18/03/2020,-68,-8,-44,-66,-59,31
IL,Israel,Tel Aviv District,,IL-TA,NA,19/03/2020,-72,-18,-51,-69,-61,33
IL,Israel,Tel Aviv District,,IL-TA,NA,20/03/2020,-78,-32,-58,-73,-62,23
IL,Israel,Tel Aviv District,,IL-TA,NA,21/03/2020,-85,-37,-52,-66,-53,20
IL,Israel,Tel Aviv District,,IL-TA,NA,22/03/2020,-68,-24,NA,-71,-64,32
IL,Israel,Tel Aviv District,,IL-TA,NA,23/03/2020,-70,-22,-22,-69,-65,33
IL,Israel,Tel Aviv District,,IL-TA,NA,24/03/2020,-70,-20,-40,-70,-65,33
IL,Israel,Tel Aviv District,,IL-TA,NA,25/03/2020,-72,-20,-44,-73,-66,34
IL,Israel,Tel Aviv District,,IL-TA,NA,26/03/2020,-82,-40,-71,-79,-69,39
IL,Israel,Tel Aviv District,,IL-TA,NA,27/03/2020,-84,-42,-72,-77,-67,25
IL,Israel,Tel Aviv District,,IL-TA,NA,28/03/2020,-91,-47,-83,-79,-59,22
IL,Israel,Tel Aviv District,,IL-TA,NA,29/03/2020,-75,-24,-58,-77,-69,36
IL,Israel,Tel Aviv District,,IL-TA,NA,30/03/2020,-81,-33,-64,-78,-70,37
IL,Israel,Tel Aviv District,,IL-TA,NA,31/03/2020,-84,NA,-61,-76,-70,37
IL,Israel,Tel Aviv District,,IL-TA,NA,01/04/2020,-85,NA,-61,-77,-70,37
IL,Israel,Tel Aviv District,,IL-TA,NA,02/04/2020,-84,NA,-57,-75,-70,38
IL,Israel,Tel Aviv District,,IL-TA,NA,03/04/2020,-84,-31,-56,-70,-65,24
IL,Israel,Tel Aviv District,,IL-TA,NA,04/04/2020,-92,-35,-74,-71,-55,21
IL,Israel,Tel Aviv District,,IL-TA,NA,05/04/2020,-80,NA,NA,-74,-70,35
IL,Israel,Tel Aviv District,,IL-TA,NA,06/04/2020,-80,NA,-55,-72,-70,35
IL,Israel,Tel Aviv District,,IL-TA,NA,07/04/2020,-77,NA,-55,-70,-71,34
IL,Israel,Tel Aviv District,,IL-TA,NA,08/04/2020,-90,-45,-73,-89,-90,43
IL,Israel,Tel Aviv District,,IL-TA,NA,09/04/2020,-97,-85,-71,-94,-94,46
IL,Israel,Tel Aviv District,,IL-TA,NA,10/04/2020,-88,-40,-66,-77,-69,25
IL,Israel,Tel Aviv District,,IL-TA,NA,11/04/2020,-92,-37,-74,-73,-57,21
IL,Israel,Tel Aviv District,,IL-TA,NA,12/04/2020,-81,-20,-49,-77,-75,37
IL,Israel,Tel Aviv District,,IL-TA,NA,13/04/2020,-82,-16,-54,-77,-75,37
IL,Israel,Tel Aviv District,,IL-TA,NA,14/04/2020,-85,-32,-64,-85,-83,39
IL,Israel,Tel Aviv District,,IL-TA,NA,15/04/2020,-95,-80,-68,-93,-93,44
IL,Israel,Tel Aviv District,,IL-TA,NA,16/04/2020,-81,-22,-52,-75,-69,36
IL,Israel,Tel Aviv District,,IL-TA,NA,17/04/2020,-80,-30,-51,-68,-58,22
IL,Israel,Tel Aviv District,,IL-TA,NA,18/04/2020,-89,-38,-66,-67,-46,19
IL,Israel,Tel Aviv District,,IL-TA,NA,19/04/2020,-72,-20,-26,-70,-63,31
IL,Israel,Tel Aviv District,,IL-TA,NA,20/04/2020,-75,-27,-42,-71,-62,32
IL,Israel,Tel Aviv District,,IL-TA,NA,21/04/2020,-74,-22,-41,-70,-62,31
IL,Israel,Tel Aviv District,,IL-TA,NA,22/04/2020,-73,-24,-35,-69,-61,31
IL,Israel,Tel Aviv District,,IL-TA,NA,23/04/2020,-74,-21,-31,-68,-59,31
IL,Israel,Tel Aviv District,,IL-TA,NA,24/04/2020,-74,-29,-40,-64,-53,19
IL,Israel,Tel Aviv District,,IL-TA,NA,25/04/2020,-86,-37,-59,-65,-42,17
IL,Israel,Tel Aviv District,,IL-TA,NA,26/04/2020,-61,-12,-18,-64,-57,27
IL,Israel,Tel Aviv District,,IL-TA,NA,27/04/2020,-67,-13,-34,-66,-57,29
IL,Israel,Tel Aviv District,,IL-TA,NA,28/04/2020,-71,-14,-44,-73,-69,32
IL,Israel,Tel Aviv District,,IL-TA,NA,29/04/2020,-93,-83,-54,-91,-91,42
IL,Israel,Tel Aviv District,,IL-TA,NA,30/04/2020,-65,-11,-13,-63,-55,27
IL,Israel,Tel Aviv District,,IL-TA,NA,01/05/2020,-62,-18,2,-55,-46,15
IL,Israel,Tel Aviv District,,IL-TA,NA,02/05/2020,-76,-24,-20,-49,-35,12
IL,Israel,Tel Aviv District,,IL-TA,NA,03/05/2020,-56,-9,5,-58,-49,24
IL,Israel,Tel Aviv District,,IL-TA,NA,04/05/2020,-59,-9,4,-58,-48,24
IL,Israel,Tel Aviv District,,IL-TA,NA,05/05/2020,-62,-17,-27,-59,-48,25
IL,Israel,Tel Aviv District,,IL-TA,NA,06/05/2020,-57,-10,8,-56,-46,23
IL,Israel,Tel Aviv District,,IL-TA,NA,07/05/2020,-55,-7,24,-50,-44,22
IL,Israel,Tel Aviv District,,IL-TA,NA,08/05/2020,-52,-12,64,-47,-39,10
IL,Israel,Tel Aviv District,,IL-TA,NA,09/05/2020,-69,-20,2,-46,-27,8
IL,Israel,Tel Aviv District,,IL-TA,NA,10/05/2020,-45,-3,29,-44,-40,19
IL,Israel,Tel Aviv District,,IL-TA,NA,11/05/2020,-50,-2,21,-47,-40,19
IL,Israel,Tel Aviv District,,IL-TA,NA,12/05/2020,-47,-4,40,-46,-43,19
IL,Israel,Tel Aviv District,,IL-TA,NA,13/05/2020,-48,-4,38,-45,-39,19
IL,Israel,Tel Aviv District,,IL-TA,NA,14/05/2020,-46,-1,35,-43,-38,17
