"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-15",2,3,25,0,0,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-16",5,3,-3,-8,-3,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-17",18,8,41,-7,-39,7
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-18",1,5,20,2,2,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-19",3,6,14,1,2,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-20",4,6,17,4,2,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-21",4,9,25,4,6,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-22",3,7,22,4,3,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-23",11,13,42,7,2,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-24",5,8,7,5,3,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-25",7,9,22,3,3,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-26",10,10,26,6,2,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-27",10,12,37,8,2,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-28",8,14,48,10,5,-2
"US","UnitedStates","Utah","","US-UT",NA,"2020-02-29",5,12,36,9,4,-2
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-01",2,8,-17,5,-1,1
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-02",10,16,11,5,3,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-03",10,16,35,2,0,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-04",9,16,50,6,2,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-05",10,16,65,5,2,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-06",7,15,61,4,5,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-07",5,13,47,7,3,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-08",11,15,20,5,1,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-09",8,14,37,2,1,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-10",8,14,77,-2,1,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-11",8,19,52,0,1,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-12",10,47,65,-2,-1,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-13",-2,44,12,-9,-4,3
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-14",-13,23,15,-8,-3,4
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-15",-6,24,68,-4,-19,4
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-16",-7,30,62,-17,-22,8
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-17",-18,22,95,-22,-28,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-18",-26,20,14,-33,-42,17
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-19",-30,8,8,-33,-36,16
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-20",-33,10,22,-35,-35,16
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-21",-40,-1,48,-28,-20,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-22",-33,-3,84,-31,-34,7
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-23",-31,-2,19,-37,-39,15
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-24",-33,-4,27,-39,-41,17
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-25",-34,-5,1,-40,-43,18
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-26",-36,-5,-2,-43,-44,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-27",-38,-4,14,-43,-41,18
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-28",-46,-16,-1,-40,-28,13
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-29",-41,-14,26,-44,-40,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-30",-36,-10,27,-42,-46,17
"US","UnitedStates","Utah","","US-UT",NA,"2020-03-31",-34,-8,58,-41,-47,18
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-01",-34,-7,39,-40,-49,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-02",-37,-9,8,-46,-49,21
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-03",-38,-5,33,-46,-47,20
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-04",-49,-18,21,-42,-34,14
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-05",-42,-13,16,-49,-43,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-06",-37,-11,6,-47,-49,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-07",-35,-9,68,-44,-50,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-08",-33,-8,71,-43,-50,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-09",-34,-7,33,-46,-51,20
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-10",-37,-2,58,-46,-50,20
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-11",-42,-4,28,-43,-34,12
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-12",-54,-31,12,-51,-45,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-13",-38,-14,2,-47,-48,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-14",-32,-11,41,-44,-48,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-15",-31,-9,5,-45,-48,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-16",-34,-12,11,-47,-48,20
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-17",-35,-12,38,-44,-45,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-18",-38,-14,48,-36,-28,11
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-19",-33,-14,40,-45,-39,9
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-20",-27,-10,57,-41,-46,17
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-21",-28,-10,77,-42,-47,18
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-22",-27,-8,67,-40,-47,17
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-23",-31,-10,22,-44,-47,19
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-24",-31,-6,71,-39,-45,17
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-25",-35,-8,81,-33,-28,9
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-26",-26,-3,102,-36,-38,6
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-27",-24,-6,56,-40,-45,16
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-28",-24,-4,89,-39,-47,8
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-29",-23,-2,87,-36,-47,16
"US","UnitedStates","Utah","","US-UT",NA,"2020-04-30",-24,-5,70,-38,-47,17
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-01",-26,-7,64,-37,-43,15
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-02",-30,-8,85,-30,-25,7
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-03",-21,-7,85,-34,-33,6
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-04",-16,-5,74,-35,-42,14
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-05",-15,1,104,-35,-43,14
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-06",-17,-4,87,-34,-43,15
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-07",-17,1,86,-34,-43,15
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-08",-20,10,101,-33,-40,13
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-09",-22,17,101,-26,-20,5
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-10",-13,21,110,-29,-28,2
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-11",-17,0,70,-34,-41,14
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-12",-18,3,97,-33,-42,14
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-13",-16,4,79,-33,-42,14
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-14",-17,2,87,-34,-43,14
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-15",-20,5,100,-33,-40,13
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-16",-25,1,111,-25,-19,5
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-17",-13,8,126,-28,-27,4
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-18",-11,5,83,-33,-39,12
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-19",-12,6,97,-33,-40,13
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-20",-10,7,67,-32,-40,13
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-21",-8,12,133,-29,-40,12
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-22",-15,12,102,-28,-39,11
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-23",-22,7,103,-25,-18,5
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-24",-7,14,193,-25,-28,2
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-25",-5,16,247,-38,-75,14
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-26",-11,8,135,-31,-39,12
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-27",-7,10,138,-29,-38,11
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-28",-7,12,146,-30,-39,12
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-29",-14,12,131,-29,-36,11
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-30",-22,4,118,-22,-8,4
"US","UnitedStates","Utah","","US-UT",NA,"2020-05-31",-10,13,127,-25,-19,3
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-01",-6,11,113,-30,-37,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-02",-8,12,149,-30,-37,11
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-03",-6,14,140,-28,-37,11
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-04",-8,12,148,-28,-38,11
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-05",-13,12,120,-27,-36,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-06",-22,0,59,-26,-11,5
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-07",-14,4,35,-25,-20,5
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-08",-9,3,55,-30,-37,12
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-09",-7,7,159,-29,-37,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-10",-5,8,165,-26,-37,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-11",-7,11,168,-26,-38,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-12",-13,11,153,-26,-36,9
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-13",-20,3,147,-17,-8,2
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-14",-4,11,180,-15,-16,0
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-15",-5,8,142,-25,-37,9
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-16",-7,7,144,-27,-37,11
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-17",-5,9,144,-24,-38,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-18",-5,10,172,-24,-38,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-19",-9,14,176,-22,-36,6
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-20",-17,11,171,-14,-8,1
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-21",-6,17,165,-15,-13,-1
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-22",-5,5,150,-23,-39,9
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-23",-6,8,182,-25,-39,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-24",-4,9,169,-23,-38,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-25",-6,9,167,-25,-39,10
"US","UnitedStates","Utah","","US-UT",NA,"2020-06-26",-13,11,164,-22,-37,8
