"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-15",2,2,3,4,0,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-16",4,0,9,-1,0,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-17",8,2,41,-6,-27,6
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-18",1,2,22,4,3,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-19",2,2,6,3,2,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-20",-2,3,-7,1,1,2
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-21",-3,-7,-7,-2,-4,3
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-22",4,2,32,6,2,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-23",5,3,43,7,2,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-24",1,0,4,1,5,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-25",4,1,11,2,3,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-26",7,4,7,6,2,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-27",6,4,4,6,2,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-28",6,4,7,6,2,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-02-29",6,6,-1,6,2,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-01",10,9,24,9,2,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-02",7,5,20,2,5,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-03",14,10,40,2,-4,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-04",9,8,39,5,2,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-05",6,6,19,4,2,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-06",3,1,5,3,1,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-07",6,8,27,8,1,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-08",7,8,62,7,0,-1
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-09",7,8,64,-1,3,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-10",6,8,40,-1,1,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-11",7,9,40,0,-1,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-12",7,20,44,-3,-3,0
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-13",3,22,46,-8,-8,3
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-14",-7,14,37,-6,-3,3
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-15",-14,5,-13,-17,-11,5
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-16",-7,14,10,-25,-20,9
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-17",-13,10,52,-25,-28,11
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-18",-21,5,26,-30,-33,13
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-19",-23,5,62,-34,-35,14
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-20",-26,3,59,-36,-36,15
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-21",-37,-4,6,-34,-23,11
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-22",-38,-12,15,-43,-31,10
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-23",-34,-10,-29,-49,-40,19
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-24",-31,-7,29,-43,-42,17
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-25",-39,-17,-28,-49,-46,21
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-26",-35,-9,34,-46,-45,19
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-27",-37,-13,41,-49,-44,20
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-28",-42,-14,24,-44,-31,12
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-29",-39,-16,46,-50,-36,11
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-30",-32,-8,21,-49,-44,18
"US","UnitedStates","Virginia","","US-VA",NA,"2020-03-31",-40,-17,-15,-51,-48,21
