"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-15",7,6,22,3,3,-1
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-16",12,6,34,-1,2,-2
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-17",-6,-2,-1,-7,-5,3
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-18",-1,0,17,3,0,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-19",-1,0,0,0,2,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-20",0,-1,-2,0,2,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-21",2,0,9,4,2,1
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-22",11,9,50,9,5,-2
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-23",15,10,65,8,5,-2
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-24",2,5,9,-1,3,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-25",0,-1,8,0,2,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-26",4,1,6,1,2,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-27",5,1,5,4,2,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-28",5,0,7,8,2,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-02-29",14,9,28,10,5,-2
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-03-01",19,12,90,11,5,-3
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-03-02",5,5,19,0,4,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-03-03",7,5,16,4,0,0
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-03-04",8,5,26,5,2,-1
"US","UnitedStates","Wisconsin","","US-WI",NA,"2020-03-05",4,2,7,4,2,0
