"country_region_code","country_region","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-15",6,4,4,3,-5,0
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-16",18,8,41,19,-4,-2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-17",2,2,31,-3,-37,7
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-18",2,4,27,13,-6,1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-19",2,2,21,3,0,0
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-20",1,1,10,8,-1,0
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-21",1,3,11,5,1,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-22",4,5,29,8,-1,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-23",8,4,6,12,-3,0
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-24",0,4,19,9,0,0
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-25",6,5,17,8,0,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-26",16,7,32,11,1,-2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-27",12,6,29,12,0,-2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-28",10,9,21,11,1,-2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-02-29",12,8,16,6,2,-3
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-01",23,16,47,23,-1,-3
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-02",11,15,14,13,0,-2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-03",13,17,24,3,1,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-04",17,14,35,3,1,-2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-05",14,13,24,3,0,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-06",9,10,20,5,-2,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-07",10,13,13,5,2,-2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-08",15,11,56,9,-2,-2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-09",6,14,21,6,-1,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-10",6,9,33,7,0,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-11",9,12,36,-2,0,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-12",8,19,29,11,-2,-1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-13",1,36,-16,-3,-3,2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-14",-11,22,-37,-12,-4,5
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-15",-9,11,-17,-7,-9,3
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-16",-6,30,8,-2,-18,5
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-17",-20,14,14,-5,-23,8
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-18",-19,13,33,-5,-26,8
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-19",-22,12,29,-6,-27,9
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-20",-23,19,28,-6,-28,10
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-21",-33,4,34,-10,-11,6
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-22",-31,-3,44,-9,-24,6
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-23",-34,-4,-29,-25,-35,12
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-24",-38,-9,-26,-24,-38,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-25",-36,-11,-24,-26,-40,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-26",-36,-9,-18,-25,-41,15
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-27",-39,-9,-22,-24,-40,17
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-28",-44,-11,-23,-30,-25,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-29",-36,-13,0,-21,-33,9
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-30",-34,-9,-27,-30,-41,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-03-31",-32,-6,-14,-26,-42,15
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-01",-26,-2,-21,-21,-43,15
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-02",-32,-3,-16,-26,-44,15
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-03",-32,1,-9,-28,-43,16
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-04",-42,-3,-26,-35,-30,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-05",-38,-7,-5,-26,-34,9
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-06",-31,0,-3,-22,-43,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-07",-31,-3,7,-26,-43,15
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-08",-29,-3,10,-20,-44,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-09",-28,-1,11,-20,-44,15
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-10",-34,3,5,-21,-45,16
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-11",-37,8,-4,-28,-30,10
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-12",-48,-10,16,-20,-35,7
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-13",-28,-2,3,-24,-40,13
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-14",-28,-4,13,-27,-40,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-15",-18,2,5,-23,-40,13
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-16",-22,4,18,-16,-40,13
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-17",-29,2,15,-26,-39,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-18",-32,2,-1,-25,-24,9
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-19",-21,4,52,-14,-29,6
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-20",-20,4,10,-17,-39,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-21",-23,1,14,-22,-40,13
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-22",-19,2,-1,-26,-40,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-23",-24,-1,11,-19,-40,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-24",-28,2,12,-26,-40,14
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-25",-32,3,3,-22,-24,8
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-26",-22,2,41,-20,-30,6
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-27",-17,6,1,-15,-38,12
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-28",-18,6,23,-17,-38,4
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-29",-15,8,24,-18,-37,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-04-30",-17,10,8,-13,-39,13
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-01",-19,13,26,-14,-38,12
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-02",-26,9,4,-18,-20,7
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-03",-16,11,53,-8,-27,5
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-04",-17,11,9,-15,-36,10
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-05",-16,18,36,-13,-36,10
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-06",-15,11,7,-18,-36,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-07",-17,14,41,-12,-36,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-08",-19,17,49,-12,-35,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-09",-21,32,63,-5,-16,4
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-10",-13,35,76,3,-20,2
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-11",-19,8,2,-10,-35,10
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-12",-17,8,16,-18,-34,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-13",-17,8,33,-12,-35,10
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-14",-21,8,23,-9,-36,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-15",-23,11,46,-9,-35,10
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-16",-28,10,39,-7,-15,5
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-17",-19,13,55,-2,-21,5
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-18",-20,7,14,-12,-33,9
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-19",-16,10,24,-14,-35,12
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-20",-18,8,25,-8,-34,10
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-21",-20,9,30,-7,-36,11
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-22",-22,13,52,-7,-36,10
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-23",-27,13,96,8,-15,3
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-24",-15,20,162,14,-23,1
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-25",-25,6,63,-20,-69,15
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-26",-19,8,50,0,-33,9
"US","UnitedStates","Washington","YakimaCounty","",53077,"2020-05-27",-15,9,60,-5,-34,8
